,Suburb,Rooms,Type,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,Latitude,Longtitude,ParkingArea,Price
2231,Avondale Heights,3,h,8/10/2016,10.5,3034,3,1,1,550,-37.7632,144.8622,Detached Garage,627500
2232,Avondale Heights,3,t,8/10/2016,10.5,3034,3,2,2,339,-37.7519,144.8534,Attached Garage,880000
2235,Balwyn,4,h,8/10/2016,9.7,3103,3,2,2,577,-37.8032,145.0693,Underground,1800000
2237,Balwyn,2,u,8/10/2016,9.7,3103,2,1,1,0,-37.8116,145.0724,Carport,635000
2238,Balwyn North,4,h,8/10/2016,9.2,3104,4,2,2,714,-37.8007,145.1002,Detached Garage,1400000
2239,Balwyn North,4,h,8/10/2016,9.2,3104,4,3,2,1274,-37.7822,145.0907,Attached Garage,2130000
2240,Balwyn North,3,u,8/10/2016,9.2,3104,3,2,2,244,-37.7933,145.0672,Indoor,1050000
2241,Balwyn North,5,h,8/10/2016,9.2,3104,4,4,2,624,-37.802,145.0797,Parkade,3690000
2243,Bentleigh,3,h,8/10/2016,13.0,3204,3,1,2,584,-37.9199,145.0477,Detached Garage,1125000
2245,Bentleigh,3,h,8/10/2016,13.0,3204,3,1,2,627,-37.9321,145.0472,Indoor,1135000
2246,Bentleigh,3,h,8/10/2016,13.0,3204,3,2,1,578,-37.9344,145.0481,Parkade,867000
2249,Bentleigh East,2,u,8/10/2016,13.9,3165,2,1,1,96,-37.9102,145.0709,Attached Garage,495000
2251,Bentleigh East,1,u,8/10/2016,13.9,3165,1,1,1,0,-37.9205,145.0528,Detached Garage,370000
2252,Bentleigh East,3,h,8/10/2016,13.9,3165,3,1,2,578,-37.9186,145.0709,Attached Garage,1100000
2254,Bentleigh East,4,h,8/10/2016,13.9,3165,4,2,4,653,-37.9244,145.0792,Parkade,1100000
2255,Bentleigh East,3,h,8/10/2016,13.9,3165,0,1,2,818,-37.9241,145.0539,Underground,1355000
2256,Bentleigh East,4,h,8/10/2016,13.9,3165,4,1,1,636,-37.925,145.0612,Outdoor Stall,1206000
2257,Bentleigh East,2,t,8/10/2016,13.9,3165,2,1,1,0,-37.9082,145.0681,Carport,486500
2260,Braybrook,3,h,8/10/2016,10.8,3019,3,2,1,216,-37.7865,144.8605,Indoor,652000
2262,Braybrook,4,h,8/10/2016,10.8,3019,4,2,2,606,-37.788,144.862,Detached Garage,850000
2263,Brighton,2,h,8/10/2016,11.2,3186,2,2,0,116,-37.9252,145.0004,Attached Garage,502000
2268,Brighton,2,u,8/10/2016,11.2,3186,2,1,1,0,-37.9225,144.9891,Attached Garage,700000
2269,Brighton East,5,h,8/10/2016,10.7,3187,5,4,2,640,-37.928,145.0095,Indoor,2900000
2272,Brighton East,3,h,8/10/2016,10.7,3187,3,3,2,481,-37.931,145.0198,Attached Garage,1590000
2273,Brunswick,4,h,8/10/2016,5.2,3056,4,1,0,264,-37.7611,144.9677,Indoor,1115000
2275,Brunswick,3,h,8/10/2016,5.2,3056,3,1,1,278,-37.7701,144.9633,Underground,1125000
2277,Brunswick,3,h,8/10/2016,5.2,3056,3,1,1,229,-37.7622,144.9586,Parking Pad,855000
2278,Brunswick,3,h,8/10/2016,5.2,3056,2,1,1,215,-37.7642,144.9688,Carport,910000
2280,Brunswick,3,t,8/10/2016,5.2,3056,3,2,1,186,-37.7581,144.9514,Attached Garage,940000
2283,Bulleen,3,t,8/10/2016,11.8,3105,3,2,2,315,-37.7607,145.0853,Underground,1250000
2284,Bulleen,4,h,8/10/2016,11.8,3105,4,1,2,650,-37.778,145.0913,Outdoor Stall,1002000
2288,Burwood,4,h,8/10/2016,11.7,3125,4,2,1,921,-37.8494,145.1291,Attached Garage,1682000
2290,Camberwell,2,h,8/10/2016,7.8,3124,2,1,1,335,-37.8452,145.0959,Parkade,892000
2292,Canterbury,2,h,8/10/2016,9.0,3126,2,1,1,342,-37.8326,145.081,Carport,1305000
2293,Canterbury,4,h,8/10/2016,9.0,3126,4,3,3,788,-37.8215,145.0731,Detached Garage,4350000
2294,Carlton North,2,t,8/10/2016,3.2,3054,2,1,1,1031,-37.784,144.9715,Attached Garage,765000
2297,Caulfield South,3,h,8/10/2016,9.3,3162,3,2,1,358,-37.8965,145.0269,Carport,1160500
2298,Caulfield South,2,u,8/10/2016,9.3,3162,2,1,1,100,-37.8912,145.0289,Detached Garage,650000
2299,Caulfield South,3,h,8/10/2016,9.3,3162,3,1,1,359,-37.8898,145.0196,Attached Garage,1170000
2302,Clifton Hill,2,h,8/10/2016,3.4,3068,2,1,0,180,-37.7898,144.9903,Underground,1420000
2303,Clifton Hill,2,h,8/10/2016,3.4,3068,2,1,1,174,-37.7928,144.9987,Outdoor Stall,1075000
2304,Clifton Hill,2,h,8/10/2016,3.4,3068,2,1,1,185,-37.7927,144.9981,Carport,1105000
2305,Clifton Hill,2,h,8/10/2016,3.4,3068,2,1,1,140,-37.7919,144.9884,Detached Garage,1209000
2307,Coburg,2,u,8/10/2016,7.8,3058,2,1,1,0,-37.7527,144.9522,Indoor,466000
2308,Coburg,3,t,8/10/2016,7.8,3058,3,2,1,255,-37.7546,144.9713,Parkade,740000
2309,Coburg,3,h,8/10/2016,7.8,3058,3,1,1,370,-37.7561,144.9718,Carport,812000
2310,Coburg,3,h,8/10/2016,7.8,3058,3,1,0,378,-37.7561,144.9716,Detached Garage,766000
2311,Coburg,3,h,8/10/2016,7.8,3058,2,1,1,374,-37.7561,144.9715,Attached Garage,825000
2312,Coburg,4,h,8/10/2016,7.8,3058,4,2,2,494,-37.7359,144.9711,Indoor,1131000
2313,Coburg,3,h,8/10/2016,7.8,3058,3,2,1,417,-37.7478,144.9583,Parkade,1064000
2314,Coburg,2,t,8/10/2016,7.8,3058,2,2,1,114,-37.7466,144.9482,Carport,610000
2315,Coburg North,3,h,8/10/2016,9.2,3058,2,1,3,586,-37.7205,144.9659,Detached Garage,860000
2317,Coburg North,2,h,8/10/2016,9.2,3058,2,1,2,563,-37.723,144.96,Carport,765000
2319,Collingwood,2,h,8/10/2016,1.6,3066,2,1,0,117,-37.7948,144.9861,Attached Garage,1015000
2320,Collingwood,1,u,8/10/2016,1.6,3066,1,1,1,0,-37.809,144.9911,Indoor,372000
2321,Collingwood,3,u,8/10/2016,1.6,3066,3,2,1,0,-37.8032,144.9842,Parkade,1326000
2323,Doncaster,2,u,8/10/2016,13.9,3108,2,1,2,0,-37.7868,145.1223,Outdoor Stall,400000
2324,Doncaster,5,h,8/10/2016,13.9,3108,5,3,2,656,-37.7752,145.1317,Carport,1400000
2331,Elwood,2,u,8/10/2016,7.7,3184,2,1,1,0,-37.885,144.991,Indoor,582500
2332,Elwood,1,u,8/10/2016,7.7,3184,1,1,1,0,-37.8831,144.9918,Parkade,485000
2333,Elwood,2,u,8/10/2016,7.7,3184,2,2,1,317,-37.8815,144.9903,Carport,660000
2334,Elwood,2,u,8/10/2016,7.7,3184,2,1,0,483,-37.874,144.9835,Detached Garage,575000
2335,Essendon,3,h,8/10/2016,8.0,3040,3,2,2,307,-37.7543,144.9249,Attached Garage,1240000
2337,Essendon,2,u,8/10/2016,8.0,3040,2,1,0,0,-37.7557,144.9222,Carport,456000
2338,Essendon,5,h,8/10/2016,8.0,3040,5,4,6,877,-37.7491,144.9002,Detached Garage,2800000
2342,Essendon,1,u,8/10/2016,8.0,3040,1,1,1,0,-37.7447,144.9184,Underground,325000
2343,Fairfield,3,t,8/10/2016,5.8,3078,3,1,1,185,-37.7665,145.0175,Outdoor Stall,846000
2344,Fitzroy North,3,t,8/10/2016,3.5,3068,3,2,1,112,-37.7912,144.9825,Parking Pad,1015000
2345,Flemington,3,h,8/10/2016,4.4,3031,3,2,0,167,-37.7869,144.9228,Carport,870000
2346,Flemington,2,u,8/10/2016,4.4,3031,2,1,1,0,-37.7825,144.9239,Detached Garage,391000
2347,Flemington,2,h,8/10/2016,4.4,3031,2,1,1,0,-37.7852,144.9223,Attached Garage,715000
2348,Flemington,3,h,8/10/2016,4.4,3031,3,1,0,294,-37.7856,144.9292,Indoor,1130000
2349,Flemington,3,h,8/10/2016,4.4,3031,3,1,1,272,-37.7857,144.931,Parkade,1110000
2350,Footscray,3,h,8/10/2016,6.4,3011,3,1,3,413,-37.7931,144.893,Underground,930000
2351,Footscray,2,u,8/10/2016,6.4,3011,2,1,1,0,-37.8006,144.881,Outdoor Stall,490000
2352,Footscray,3,h,8/10/2016,6.4,3011,3,1,1,0,-37.7962,144.8851,Parking Pad,853000
2353,Footscray,4,h,8/10/2016,6.4,3011,3,1,2,411,-37.7969,144.9049,Carport,1290000
2354,Footscray,3,u,8/10/2016,6.4,3011,3,1,1,0,-37.7949,144.9007,Detached Garage,480000
2355,Footscray,4,h,8/10/2016,6.4,3011,2,1,2,277,-37.7901,144.8883,Attached Garage,775000
2358,Glen Iris,2,u,8/10/2016,9.2,3146,2,1,1,0,-37.85,145.0461,Underground,411000
2359,Glen Iris,3,h,8/10/2016,9.2,3146,3,1,1,215,-37.85,145.057,Carport,1222000
2361,Glen Iris,4,h,8/10/2016,9.2,3146,3,2,2,662,-37.8588,145.0832,Attached Garage,1550000
2362,Glenroy,3,h,8/10/2016,13.0,3046,3,1,2,674,-37.7102,144.9362,Indoor,721000
2363,Glenroy,3,h,8/10/2016,13.0,3046,3,1,4,640,-37.6986,144.9243,Parkade,737000
2364,Glenroy,3,h,8/10/2016,13.0,3046,3,1,1,701,-37.6953,144.9397,Carport,575500
2365,Glenroy,3,h,8/10/2016,13.0,3046,3,1,2,702,-37.6999,144.9387,Detached Garage,600000
2366,Glenroy,3,h,8/10/2016,13.0,3046,3,2,2,224,-37.702,144.9507,Attached Garage,460000
2367,Glenroy,3,t,8/10/2016,13.0,3046,3,2,1,259,-37.6977,144.9149,Indoor,370000
2368,Hadfield,3,h,8/10/2016,12.1,3046,3,1,4,692,-37.7084,144.9412,Parkade,719000
2370,Hawthorn,1,u,8/10/2016,4.6,3122,1,1,1,0,-37.8272,145.0444,Outdoor Stall,365000
2371,Hawthorn,2,u,8/10/2016,4.6,3122,2,1,1,1089,-37.8143,145.0322,Carport,580000
2372,Hawthorn,3,h,8/10/2016,4.6,3122,3,2,1,341,-37.8236,145.0425,Detached Garage,1300000
2373,Hawthorn,3,h,8/10/2016,4.6,3122,3,1,0,232,-37.8173,145.0252,Attached Garage,1300000
2376,Hawthorn,2,u,8/10/2016,4.6,3122,2,2,1,0,-37.8213,145.0291,Carport,575000
2377,Heidelberg West,2,h,8/10/2016,9.4,3081,2,1,2,650,-37.7446,145.0404,Detached Garage,686000
2378,Heidelberg West,2,h,8/10/2016,9.4,3081,2,1,2,538,-37.7405,145.0365,Attached Garage,501500
2379,Heidelberg West,3,h,8/10/2016,9.4,3081,3,1,1,605,-37.7344,145.0404,Indoor,525500
2382,Hughesdale,3,h,8/10/2016,13.0,3166,3,1,1,562,-37.9022,145.0811,Detached Garage,1055000
2385,Keilor East,3,h,8/10/2016,12.8,3033,3,2,2,568,-37.7469,144.8526,Detached Garage,690000
2386,Keilor East,3,t,8/10/2016,12.8,3033,3,2,2,610,-37.7504,144.8645,Attached Garage,785000
2387,Kensington,2,h,8/10/2016,4.2,3031,2,2,1,138,-37.799,144.9276,Indoor,905000
2389,Kensington,2,h,8/10/2016,4.2,3031,2,1,1,174,-37.7959,144.9343,Underground,960000
2390,Kensington,2,h,8/10/2016,4.2,3031,2,1,1,163,-37.7929,144.9287,Outdoor Stall,1031000
2391,Kensington,3,t,8/10/2016,4.2,3031,3,2,1,788,-37.7938,144.9186,Carport,918000
2392,Kensington,3,h,8/10/2016,4.2,3031,3,1,1,211,-37.7891,144.926,Detached Garage,870000
2393,Kew,4,h,8/10/2016,5.6,3101,3,2,2,400,-37.8147,145.0438,Attached Garage,1950000
2397,Maidstone,3,h,8/10/2016,9.2,3012,3,2,1,250,-37.7905,144.8762,Attached Garage,676500
2398,Maidstone,2,h,8/10/2016,9.2,3012,2,1,1,144,-37.7895,144.8667,Indoor,502000
2399,Maidstone,3,h,8/10/2016,9.2,3012,2,2,1,239,-37.7882,144.8784,Parkade,721000
2400,Malvern,2,u,8/10/2016,7.4,3144,2,1,1,0,-37.8537,145.041,Carport,635000
2401,Malvern,2,u,8/10/2016,7.4,3144,2,1,1,0,-37.8515,145.0372,Detached Garage,611000
2403,Malvern East,2,u,8/10/2016,11.2,3145,2,1,1,92,-37.8706,145.0578,Indoor,720000
2404,Malvern East,3,h,8/10/2016,11.2,3145,3,1,2,789,-37.8747,145.052,Carport,2210000
2405,Malvern East,3,t,8/10/2016,11.2,3145,3,2,1,206,-37.8826,145.0868,Detached Garage,940000
2409,Maribyrnong,3,h,8/10/2016,8.7,3032,3,1,1,629,-37.7798,144.8872,Underground,986500
2413,Middle Park,1,u,8/10/2016,4.1,3206,1,1,1,0,-37.8522,144.9678,Detached Garage,400000
2415,Mont Albert,5,h,8/10/2016,11.8,3127,5,3,2,424,-37.8145,145.1131,Indoor,1955000
2416,Moonee Ponds,3,h,8/10/2016,6.9,3039,3,2,3,477,-37.7661,144.9076,Parkade,1550000
2417,Moonee Ponds,3,h,8/10/2016,6.9,3039,3,1,1,443,-37.7585,144.928,Underground,1170000
2418,Moonee Ponds,4,h,8/10/2016,6.9,3039,4,1,1,571,-37.7659,144.9116,Outdoor Stall,1120000
2419,Moonee Ponds,2,u,8/10/2016,6.9,3039,2,1,1,206,-37.7694,144.9059,Parking Pad,675000
2420,Moonee Ponds,3,h,8/10/2016,6.9,3039,3,2,2,315,-37.769,144.9057,Carport,880000
2422,Moorabbin,2,u,8/10/2016,14.6,3189,2,1,1,1202,-37.9412,145.0465,Attached Garage,655000
2423,Moorabbin,4,h,8/10/2016,14.6,3189,4,2,1,696,-37.9398,145.0554,Indoor,1200000
2424,Newport,3,h,8/10/2016,8.4,3015,3,2,0,311,-37.85,144.8914,Parkade,1220000
2425,Newport,3,h,8/10/2016,8.4,3015,3,1,1,185,-37.8447,144.8734,Underground,785000
2428,Newport,2,h,8/10/2016,8.4,3015,2,1,1,402,-37.8446,144.8796,Attached Garage,962000
2431,North Melbourne,2,u,8/10/2016,2.3,3051,2,1,1,0,-37.7988,144.9475,Carport,475000
2432,North Melbourne,2,u,8/10/2016,2.3,3051,2,2,1,0,-37.802,144.9459,Detached Garage,640000
2434,Northcote,3,h,8/10/2016,5.5,3070,3,1,3,472,-37.7765,145.0027,Indoor,1655000
2435,Northcote,4,h,8/10/2016,5.5,3070,4,1,2,608,-37.7731,144.9967,Parkade,1950000
2437,Northcote,4,h,8/10/2016,5.5,3070,2,1,1,314,-37.763,144.9978,Outdoor Stall,905000
2439,Oak Park,2,u,8/10/2016,11.5,3046,2,1,1,161,-37.7204,144.9131,Detached Garage,522000
2440,Oakleigh South,3,h,8/10/2016,14.7,3167,1,1,2,533,-37.9348,145.0836,Attached Garage,802000
2441,Oakleigh South,3,h,8/10/2016,14.7,3167,3,1,1,530,-37.9248,145.1067,Indoor,995000
2443,Parkville,2,h,8/10/2016,2.6,3052,2,1,1,187,-37.7939,144.9572,Carport,1805000
2444,Parkville,1,u,8/10/2016,2.6,3052,1,1,1,0,-37.7864,144.9409,Detached Garage,352500
2445,Pascoe Vale,5,h,8/10/2016,9.9,3044,5,2,5,759,-37.7296,144.9362,Attached Garage,1345000
2446,Pascoe Vale,2,t,8/10/2016,9.9,3044,2,1,1,156,-37.7311,144.9395,Indoor,530000
2447,Pascoe Vale,3,h,8/10/2016,9.9,3044,2,1,1,438,-37.7338,144.9441,Parkade,815000
2448,Pascoe Vale,4,h,8/10/2016,9.9,3044,4,1,3,746,-37.7161,144.931,Carport,930000
2449,Pascoe Vale,2,u,8/10/2016,9.9,3044,2,1,1,0,-37.7262,144.9273,Detached Garage,521500
2450,Port Melbourne,2,u,8/10/2016,3.8,3207,2,2,1,995,-37.8407,144.9383,Attached Garage,600000
2451,Port Melbourne,3,h,8/10/2016,3.8,3207,2,2,1,190,-37.8393,144.947,Carport,1916000
2452,Port Melbourne,1,u,8/10/2016,3.8,3207,1,1,1,0,-37.8424,144.9449,Detached Garage,577000
2453,Prahran,1,u,8/10/2016,4.5,3181,2,1,1,443,-37.8493,145.0006,Attached Garage,482500
2457,Prahran,3,h,8/10/2016,4.5,3181,2,2,1,210,-37.851,145.0051,Outdoor Stall,1730000
2458,Preston,3,h,8/10/2016,8.8,3072,3,1,2,562,-37.7339,145.0247,Carport,700000
2459,Preston,3,h,8/10/2016,8.8,3072,3,1,2,493,-37.7441,145.0221,Detached Garage,615000
2460,Preston,2,h,8/10/2016,8.8,3072,2,1,1,521,-37.7441,145.0183,Attached Garage,775000
2461,Preston,3,h,8/10/2016,8.8,3072,3,1,2,369,-37.7359,144.985,Indoor,735000
2465,Preston,3,h,8/10/2016,8.8,3072,3,2,1,164,-37.7335,145.0374,Indoor,550000
2466,Preston,3,h,8/10/2016,8.8,3072,3,1,2,463,-37.7339,144.9897,Parkade,1000000
2467,Preston,2,h,8/10/2016,8.8,3072,2,1,3,475,-37.7351,145.0066,Carport,780000
2468,Reservoir,3,h,8/10/2016,11.2,3073,3,1,1,320,-37.7248,145.023,Detached Garage,500000
2469,Reservoir,4,h,8/10/2016,11.2,3073,4,1,1,518,-37.726,145.0044,Attached Garage,1015000
2470,Reservoir,3,h,8/10/2016,11.2,3073,3,3,2,618,-37.7154,144.9962,Indoor,915000
2471,Reservoir,2,h,8/10/2016,11.2,3073,2,1,1,159,-37.6998,145.0248,Carport,380000
2472,Reservoir,2,u,8/10/2016,11.2,3073,3,2,2,234,-37.7172,145.016,Detached Garage,468000
2473,Reservoir,3,h,8/10/2016,11.2,3073,3,1,2,570,-37.718,144.9999,Attached Garage,800000
2474,Reservoir,2,u,8/10/2016,11.2,3073,2,1,1,149,-37.7177,144.9917,Indoor,380000
2475,Reservoir,3,h,8/10/2016,11.2,3073,3,1,1,370,-37.719,144.9971,Parkade,600000
2476,Reservoir,3,t,8/10/2016,11.2,3073,3,2,1,229,-37.7036,145.0145,Underground,530000
2478,Reservoir,3,t,8/10/2016,11.2,3073,3,1,1,270,-37.702,145.0148,Parking Pad,592000
2481,Reservoir,2,h,8/10/2016,11.2,3073,2,1,2,379,-37.7108,145.0048,Attached Garage,611000
2483,Reservoir,2,u,8/10/2016,11.2,3073,2,1,2,132,-37.709,145.0219,Parkade,440000
2484,Richmond,1,u,8/10/2016,2.6,3121,1,1,1,8223,-37.8127,145.0094,Underground,345000
2485,Richmond,3,h,8/10/2016,2.6,3121,3,1,2,204,-37.8285,145.0022,Outdoor Stall,1275000
2488,Richmond,3,h,8/10/2016,2.6,3121,3,1,0,176,-37.8116,145.0042,Detached Garage,1150000
2489,Richmond,4,h,8/10/2016,2.6,3121,4,1,0,254,-37.8201,144.9898,Attached Garage,950000
2490,Richmond,2,h,8/10/2016,2.6,3121,2,1,1,0,-37.8231,144.9906,Indoor,270000
2492,Seddon,3,h,8/10/2016,6.6,3011,3,2,1,306,-37.8038,144.8896,Underground,1075000
2493,Seddon,3,h,8/10/2016,6.6,3011,2,2,2,409,-37.8097,144.8987,Carport,937500
2494,Seddon,3,h,8/10/2016,6.6,3011,3,3,2,227,-37.8033,144.8897,Detached Garage,1350000
2495,South Melbourne,3,h,8/10/2016,2.1,3205,3,2,0,224,-37.8329,144.9529,Attached Garage,1250000
2496,South Yarra,2,u,8/10/2016,3.3,3141,2,1,1,0,-37.8343,144.9899,Indoor,780000
2497,South Yarra,2,u,8/10/2016,3.3,3141,2,2,1,0,-37.8361,144.9966,Parkade,865000
2498,South Yarra,2,h,8/10/2016,3.3,3141,2,1,0,225,-37.8421,144.9876,Carport,1455000
2499,South Yarra,2,t,8/10/2016,3.3,3141,3,2,1,1302,-37.8377,145.0021,Detached Garage,1365000
2500,South Yarra,1,u,8/10/2016,3.3,3141,1,1,1,1369,-37.8405,145.0025,Attached Garage,411000
2502,South Yarra,1,u,8/10/2016,3.3,3141,1,1,1,0,-37.8404,145.0045,Parkade,360500
2503,South Yarra,2,u,8/10/2016,3.3,3141,2,2,2,0,-37.8376,144.9847,Underground,1300000
2504,South Yarra,2,u,8/10/2016,3.3,3141,2,2,1,0,-37.8376,144.9847,Outdoor Stall,1300000
2505,Spotswood,2,h,8/10/2016,7.7,3015,2,1,2,502,-37.8263,144.8775,Carport,850000
2507,St Kilda,2,u,8/10/2016,6.1,3182,2,1,2,1676,-37.8585,144.9852,Attached Garage,487500
2508,St Kilda,1,u,8/10/2016,6.1,3182,1,1,1,0,-37.8568,144.9873,Indoor,459000
2509,Sunshine North,3,h,8/10/2016,13.3,3020,3,1,2,532,-37.7749,144.8313,Parkade,670000
2510,Sunshine North,3,h,8/10/2016,13.3,3020,3,2,2,528,-37.758,144.8256,Carport,571500
2511,Sunshine North,2,u,8/10/2016,13.3,3020,2,1,1,14,-37.7756,144.8345,Detached Garage,315000
2513,Sunshine West,3,h,8/10/2016,13.5,3020,3,1,4,699,-37.7905,144.8033,Indoor,620000
2515,Surrey Hills,4,h,8/10/2016,11.2,3127,4,2,2,486,-37.8258,145.1116,Carport,1530000
2516,Surrey Hills,4,h,8/10/2016,11.2,3127,4,2,2,867,-37.8346,145.1059,Detached Garage,1930000
2517,Surrey Hills,4,h,8/10/2016,11.2,3127,4,2,2,715,-37.8325,145.1114,Attached Garage,1812500
2518,Surrey Hills,2,u,8/10/2016,11.2,3127,2,1,1,681,-37.8159,145.091,Carport,760000
2522,Templestowe Lower,4,h,8/10/2016,13.8,3107,4,2,5,671,-37.7631,145.1108,Parkade,790000
2524,Thornbury,3,h,8/10/2016,6.5,3071,3,1,1,294,-37.7585,145.0042,Outdoor Stall,1135000
2526,Toorak,1,u,8/10/2016,4.6,3142,1,1,1,0,-37.8392,145.008,Detached Garage,462800
2528,Toorak,2,u,8/10/2016,4.6,3142,2,2,2,0,-37.8414,145.0137,Indoor,1450000
2531,Watsonia,3,h,8/10/2016,14.9,3087,3,1,0,302,-37.7163,145.0768,Attached Garage,582000
2532,West Melbourne,2,t,8/10/2016,1.9,3003,2,1,1,0,-37.8094,144.9452,Indoor,1055000
2533,Williamstown,4,h,8/10/2016,8.0,3016,3,1,2,458,-37.8571,144.8915,Parkade,1085000
2534,Williamstown,4,h,8/10/2016,8.0,3016,4,3,2,321,-37.8623,144.8884,Carport,1815000
2535,Williamstown,3,h,8/10/2016,8.0,3016,3,2,1,364,-37.8513,144.8961,Detached Garage,1470000
2536,Williamstown North,2,u,8/10/2016,8.9,3016,2,1,1,0,-37.8564,144.8864,Attached Garage,400000
2537,Williamstown North,5,h,8/10/2016,8.9,3016,5,2,5,680,-37.8561,144.8859,Indoor,1410000
2540,Yarraville,5,h,8/10/2016,7.0,3013,5,2,2,644,-37.8102,144.8857,Attached Garage,1815000
2541,Yarraville,2,h,8/10/2016,7.0,3013,2,1,1,148,-37.822,144.89,Indoor,630000
2543,Yarraville,4,h,8/10/2016,7.0,3013,4,1,3,766,-37.8126,144.8905,Underground,1870000
2544,Aberfeldie,4,h,8/10/2016,9.1,3040,2,2,2,559,-37.7614,144.8925,Outdoor Stall,1346000
2545,Aberfeldie,2,h,8/10/2016,9.1,3040,3,1,5,528,-37.7617,144.8987,Parking Pad,1300000
2548,Brunswick East,2,u,8/10/2016,4.5,3057,2,1,1,197,-37.7717,144.9719,Attached Garage,435000
2549,Brunswick East,2,u,8/10/2016,4.5,3057,2,2,1,0,-37.7656,144.9726,Indoor,570000
2551,Carlton,2,h,8/10/2016,1.8,3053,2,1,0,66,-37.8049,144.9644,Underground,840000
2552,East Melbourne,2,u,8/10/2016,1.5,3002,2,0,0,0,-37.8177,144.9801,Outdoor Stall,740000
2553,East Melbourne,1,u,8/10/2016,1.5,3002,1,1,1,0,-37.8136,144.9892,Parking Pad,1015000
2554,East Melbourne,2,u,8/10/2016,1.5,3002,2,2,1,0,-37.8118,144.9762,Carport,1400000
2555,Essendon West,2,h,8/10/2016,9.8,3040,2,1,1,711,-37.755,144.8848,Detached Garage,1430000
2556,Fawkner,4,h,8/10/2016,12.4,3060,4,2,3,254,-37.7082,144.9725,Attached Garage,540000
2561,Hawthorn East,3,t,8/10/2016,7.5,3123,3,2,2,94,-37.8302,145.0525,Detached Garage,1110000
2562,Hawthorn East,4,t,8/10/2016,7.5,3123,4,2,2,154,-37.8298,145.0537,Attached Garage,1425000
2564,Ivanhoe East,4,h,8/10/2016,9.0,3079,4,2,2,830,-37.7679,145.0673,Parkade,1660000
2565,Kingsbury,3,h,8/10/2016,12.4,3083,2,1,1,907,-37.7143,145.039,Carport,980000
2566,Murrumbeena,2,u,8/10/2016,12.1,3163,2,1,1,0,-37.898,145.0734,Detached Garage,825000
2567,Ormond,2,h,8/10/2016,11.8,3204,2,1,1,516,-37.906,145.0497,Attached Garage,1250000
2568,Ormond,2,h,8/10/2016,11.8,3204,3,1,1,690,-37.9056,145.0288,Indoor,1360000
2569,West Footscray,2,h,8/10/2016,8.2,3012,2,1,2,0,-37.7952,144.8749,Parkade,438000
2572,West Footscray,2,h,8/10/2016,8.2,3012,2,1,1,92,-37.8095,144.869,Carport,360000
2576,Glen Huntly,3,h,8/10/2016,10.4,3163,3,1,2,553,-37.8878,145.0456,Parkade,1160000
2579,Oakleigh,3,h,8/10/2016,14.0,3166,3,1,2,689,-37.8961,145.1046,Attached Garage,1076000
2581,Cremorne,2,h,8/10/2016,2.5,3121,2,1,0,146,-37.8274,144.9947,Parkade,1000000
2582,Cremorne,2,u,8/10/2016,2.5,3121,2,1,1,0,-37.8282,144.9897,Carport,546000
2584,Caulfield East,3,h,8/10/2016,9.3,3145,3,1,2,658,-37.885,145.0466,Attached Garage,1380000
2585,Keilor Park,3,h,8/10/2016,14.5,3042,3,1,1,696,-37.725,144.8586,Carport,720000
2586,Airport West,2,u,10/9/2016,13.5,3042,2,1,1,120,-37.7234,144.8792,Detached Garage,530000
2587,Airport West,3,h,10/9/2016,13.5,3042,3,1,6,1063,-37.7249,144.8728,Attached Garage,895000
2589,Albert Park,2,h,10/9/2016,3.3,3206,2,1,1,199,-37.8422,144.9554,Parkade,2120000
2590,Albert Park,3,h,10/9/2016,3.3,3206,3,1,1,253,-37.8443,144.9579,Underground,1800000
2591,Albert Park,3,h,10/9/2016,3.3,3206,3,2,1,90,-37.8421,144.9571,Outdoor Stall,1800000
2593,Altona,2,u,10/9/2016,13.8,3018,2,1,1,127,-37.8686,144.8182,Detached Garage,510000
2594,Altona,4,h,10/9/2016,13.8,3018,4,2,2,695,-37.8733,144.8147,Attached Garage,1070000
2595,Altona,2,u,10/9/2016,13.8,3018,2,1,2,115,-37.871,144.8185,Indoor,425000
2598,Armadale,1,u,10/9/2016,6.3,3143,1,1,1,0,-37.8619,145.0185,Attached Garage,280000
2599,Ascot Vale,2,h,10/9/2016,5.9,3032,2,1,1,226,-37.7774,144.9186,Indoor,770000
2601,Ashburton,8,h,10/9/2016,11.0,3147,9,7,4,1472,-37.8729,145.0788,Carport,2950000
2602,Ashburton,4,h,10/9/2016,11.0,3147,4,2,1,681,-37.8612,145.0858,Detached Garage,2215000
2604,Ashburton,3,h,10/9/2016,11.0,3147,3,2,2,516,-37.8675,145.0668,Indoor,1518000
2605,Ashwood,3,h,10/9/2016,12.2,3147,3,1,1,792,-37.864,145.0972,Carport,1365000
2611,Balwyn,2,u,10/9/2016,9.7,3103,2,1,1,0,-37.8144,145.0993,Outdoor Stall,526000
2612,Balwyn,1,h,10/9/2016,9.7,3103,1,1,1,740,-37.8125,145.0775,Parking Pad,390000
2616,Balwyn North,4,h,10/9/2016,9.2,3104,4,2,2,610,-37.7843,145.0891,Indoor,1740000
2618,Balwyn North,4,h,10/9/2016,9.2,3104,4,3,2,657,-37.7981,145.0904,Underground,2575000
