,Suburb,Rooms,Type,Price,Date,Postcode,Regionname,Propertycount,Distance
897,Keilor Downs,3,h,506000,1/07/2017,3038,Western Metropolitan,3656,15.5
898,Keilor Downs,3,h,810000,1/07/2017,3038,Western Metropolitan,3656,15.5
899,Keilor Downs,3,h,735000,1/07/2017,3038,Western Metropolitan,3656,15.5
900,Keilor Downs,3,h,595000,1/07/2017,3038,Western Metropolitan,3656,15.5
901,Keilor Downs,3,h,605000,1/07/2017,3038,Western Metropolitan,3656,15.5
902,Keilor East,2,t,520000,1/07/2017,3033,Western Metropolitan,5629,11.7
903,Keilor Lodge,4,h,640000,1/07/2017,3038,Western Metropolitan,570,15.5
904,Kensington,3,t,967000,1/07/2017,3031,Northern Metropolitan,5263,3.4
905,Kensington,2,h,850000,1/07/2017,3031,Northern Metropolitan,5263,3.4
906,Kensington,1,t,500000,1/07/2017,3031,Northern Metropolitan,5263,3.4
907,Kensington,2,u,535000,1/07/2017,3031,Northern Metropolitan,5263,3.4
908,Kew,2,h,758000,1/07/2017,3101,Southern Metropolitan,10331,5.4
910,Kew,3,h,975000,1/07/2017,3101,Southern Metropolitan,10331,5.4
911,Kew East,2,u,862000,1/07/2017,3102,Southern Metropolitan,2671,7.3
912,Keysborough,4,h,965000,1/07/2017,3173,South-Eastern Metropolitan,8459,25.2
913,Keysborough,4,h,761000,1/07/2017,3173,South-Eastern Metropolitan,8459,25.2
914,Kings Park,3,h,520000,1/07/2017,3021,Western Metropolitan,2878,14.0
915,Kings Park,3,h,530000,1/07/2017,3021,Western Metropolitan,2878,14.0
917,Kingsville,3,h,1020000,1/07/2017,3012,Western Metropolitan,1808,6.4
918,Kingsville,1,u,210000,1/07/2017,3012,Western Metropolitan,1808,6.4
919,Lalor,4,h,750000,1/07/2017,3075,Northern Metropolitan,8279,16.3
920,Lalor,3,h,635000,1/07/2017,3075,Northern Metropolitan,8279,16.3
921,Lalor,2,u,410000,1/07/2017,3075,Northern Metropolitan,8279,16.3
922,Lalor,5,h,675000,1/07/2017,3075,Northern Metropolitan,8279,16.3
923,Lower Plenty,5,h,880000,1/07/2017,3093,Eastern Metropolitan,1624,14.6
924,Lynbrook,3,h,597500,1/07/2017,3975,South-Eastern Metropolitan,2322,33.8
925,MacLeod,3,u,640000,1/07/2017,3085,Northern Metropolitan,4168,12.7
926,Maidstone,1,u,280000,1/07/2017,3012,Western Metropolitan,3873,6.4
927,Maidstone,2,t,520000,1/07/2017,3012,Western Metropolitan,3873,6.4
928,Maidstone,3,t,895000,1/07/2017,3012,Western Metropolitan,3873,6.4
929,Maidstone,3,t,660000,1/07/2017,3012,Western Metropolitan,3873,6.4
931,Malvern East,3,h,2110000,1/07/2017,3145,Southern Metropolitan,8801,8.4
933,Maribyrnong,3,h,1050000,1/07/2017,3032,Western Metropolitan,4918,4.3
936,Melton,4,h,320000,1/07/2017,3337,Western Victoria,3600,31.7
937,Melton,3,h,480000,1/07/2017,3337,Western Victoria,3600,31.7
938,Melton South,3,h,365000,1/07/2017,3338,Western Victoria,4718,29.8
940,Mentone,2,t,705000,1/07/2017,3194,South-Eastern Metropolitan,6162,20.0
941,Mernda,4,h,670000,1/07/2017,3754,Northern Metropolitan,5812,25.9
943,Mernda,4,h,520500,1/07/2017,3754,Northern Metropolitan,5812,25.9
945,Mill Park,2,u,460000,1/07/2017,3082,Northern Metropolitan,10529,17.9
946,Mill Park,3,h,610000,1/07/2017,3082,Northern Metropolitan,10529,17.9
947,Mitcham,3,h,950000,1/07/2017,3132,Eastern Metropolitan,6871,17.2
948,Mitcham,3,t,715000,1/07/2017,3132,Eastern Metropolitan,6871,17.2
949,Mitcham,3,t,970000,1/07/2017,3132,Eastern Metropolitan,6871,17.2
950,Mont Albert,5,h,2200000,1/07/2017,3127,Eastern Metropolitan,2079,10.2
951,Mont Albert,4,h,2320000,1/07/2017,3127,Eastern Metropolitan,2079,10.2
952,Mont Albert,4,h,2752000,1/07/2017,3127,Eastern Metropolitan,2079,10.2
953,Montmorency,3,h,655000,1/07/2017,3094,Eastern Metropolitan,3891,16.2
954,Montmorency,3,h,960000,1/07/2017,3094,Eastern Metropolitan,3891,16.2
956,Moonee Ponds,4,h,1810000,1/07/2017,3039,Western Metropolitan,6232,6.2
957,Moonee Ponds,2,h,1020000,1/07/2017,3039,Western Metropolitan,6232,6.2
958,Moonee Ponds,2,h,1250000,1/07/2017,3039,Western Metropolitan,6232,6.2
959,Moorabbin,3,h,1175000,1/07/2017,3189,Southern Metropolitan,2555,14.3
960,Mordialloc,4,h,800000,1/07/2017,3195,South-Eastern Metropolitan,3650,21.5
961,Mordialloc,4,h,1225000,1/07/2017,3195,South-Eastern Metropolitan,3650,21.5
962,Mount Waverley,6,h,1200000,1/07/2017,3149,Eastern Metropolitan,13366,14.2
964,Mount Waverley,3,h,1205000,1/07/2017,3149,Eastern Metropolitan,13366,14.2
965,Mount Waverley,4,h,1720000,1/07/2017,3149,Eastern Metropolitan,13366,14.2
966,Mount Waverley,5,h,1600000,1/07/2017,3149,Eastern Metropolitan,13366,14.2
967,Mount Waverley,3,h,944000,1/07/2017,3149,Eastern Metropolitan,13366,14.2
968,Mount Waverley,3,h,1385000,1/07/2017,3149,Eastern Metropolitan,13366,14.2
969,Mount Waverley,3,h,1280000,1/07/2017,3149,Eastern Metropolitan,13366,14.2
970,Mount Waverley,3,h,2000000,1/07/2017,3149,Eastern Metropolitan,13366,14.2
972,Narre Warren,3,h,650000,1/07/2017,3805,South-Eastern Metropolitan,9376,34.1
973,Narre Warren,3,h,655000,1/07/2017,3805,South-Eastern Metropolitan,9376,34.1
974,Narre Warren,3,h,580000,1/07/2017,3805,South-Eastern Metropolitan,9376,34.1
975,Newport,2,h,710000,1/07/2017,3015,Western Metropolitan,5498,6.2
976,Newport,2,u,335000,1/07/2017,3015,Western Metropolitan,5498,6.2
977,Newport,3,h,1330000,1/07/2017,3015,Western Metropolitan,5498,6.2
978,Noble Park,2,u,466500,1/07/2017,3174,South-Eastern Metropolitan,11806,22.7
980,North Melbourne,2,u,550000,1/07/2017,3051,Northern Metropolitan,6821,1.8
981,North Melbourne,2,h,962000,1/07/2017,3051,Northern Metropolitan,6821,1.8
982,North Melbourne,2,t,936000,1/07/2017,3051,Northern Metropolitan,6821,1.8
983,North Melbourne,2,u,580000,1/07/2017,3051,Northern Metropolitan,6821,1.8
984,Northcote,4,h,1900000,1/07/2017,3070,Northern Metropolitan,11364,5.3
985,Northcote,3,h,1605000,1/07/2017,3070,Northern Metropolitan,11364,5.3
986,Northcote,3,h,1415000,1/07/2017,3070,Northern Metropolitan,11364,5.3
987,Northcote,2,u,390000,1/07/2017,3070,Northern Metropolitan,11364,5.3
988,Nunawading,2,u,637000,1/07/2017,3131,Eastern Metropolitan,4973,15.4
989,Nunawading,4,h,1100000,1/07/2017,3131,Eastern Metropolitan,4973,15.4
990,Nunawading,3,h,926000,1/07/2017,3131,Eastern Metropolitan,4973,15.4
991,Oak Park,2,t,610000,1/07/2017,3046,Northern Metropolitan,2651,11.2
992,Oak Park,3,u,700000,1/07/2017,3046,Northern Metropolitan,2651,11.2
993,Oakleigh East,5,h,1525000,1/07/2017,3166,Southern Metropolitan,2547,12.3
994,Oakleigh East,6,h,1900000,1/07/2017,3166,Southern Metropolitan,2547,12.3
998,Ormond,1,u,454000,1/07/2017,3204,Southern Metropolitan,3578,11.4
999,Ormond,2,u,562000,1/07/2017,3204,Southern Metropolitan,3578,11.4
1000,Parkdale,3,t,1000000,1/07/2017,3195,South-Eastern Metropolitan,5087,21.5
1001,Parkdale,3,h,985000,1/07/2017,3195,South-Eastern Metropolitan,5087,21.5
1002,Parkdale,3,h,820000,1/07/2017,3195,South-Eastern Metropolitan,5087,21.5
1003,Pascoe Vale,3,h,870000,1/07/2017,3044,Northern Metropolitan,7485,8.5
1004,Pascoe Vale,3,h,800000,1/07/2017,3044,Northern Metropolitan,7485,8.5
1005,Pascoe Vale,5,h,1501000,1/07/2017,3044,Northern Metropolitan,7485,8.5
1007,Pascoe Vale,3,h,1663000,1/07/2017,3044,Northern Metropolitan,7485,8.5
1008,Pascoe Vale,4,h,780000,1/07/2017,3044,Northern Metropolitan,7485,8.5
1010,Point Cook,5,h,660000,1/07/2017,3030,Western Metropolitan,15542,14.7
1013,Point Cook,4,h,663500,1/07/2017,3030,Western Metropolitan,15542,14.7
1014,Port Melbourne,3,u,1631000,1/07/2017,3207,Southern Metropolitan,8648,3.5
1015,Port Melbourne,3,h,1665000,1/07/2017,3207,Southern Metropolitan,8648,3.5
1016,Port Melbourne,4,h,2450000,1/07/2017,3207,Southern Metropolitan,8648,3.5
1017,Prahran,1,u,399000,1/07/2017,3181,Southern Metropolitan,7717,4.6
1018,Prahran,2,u,1240000,1/07/2017,3181,Southern Metropolitan,7717,4.6
1019,Preston,3,h,727500,1/07/2017,3072,Northern Metropolitan,14577,8.4
1021,Preston,3,t,965000,1/07/2017,3072,Northern Metropolitan,14577,8.4
1022,Princes Hill,2,h,2530000,1/07/2017,3054,Northern Metropolitan,1008,3.5
1023,Princes Hill,3,h,1930000,1/07/2017,3054,Northern Metropolitan,1008,3.5
1024,Reservoir,3,h,840000,1/07/2017,3073,Northern Metropolitan,21650,12.0
1025,Reservoir,2,h,560000,1/07/2017,3073,Northern Metropolitan,21650,12.0
1027,Reservoir,4,h,900000,1/07/2017,3073,Northern Metropolitan,21650,12.0
1028,Reservoir,3,h,680500,1/07/2017,3073,Northern Metropolitan,21650,12.0
1029,Reservoir,4,h,902000,1/07/2017,3073,Northern Metropolitan,21650,12.0
1030,Reservoir,3,h,825000,1/07/2017,3073,Northern Metropolitan,21650,12.0
1031,Reservoir,3,h,801000,1/07/2017,3073,Northern Metropolitan,21650,12.0
1032,Reservoir,2,t,668500,1/07/2017,3073,Northern Metropolitan,21650,12.0
1033,Richmond,2,h,1165000,1/07/2017,3121,Northern Metropolitan,14949,2.4
1034,Richmond,1,u,390000,1/07/2017,3121,Northern Metropolitan,14949,2.4
1035,Richmond,2,u,890500,1/07/2017,3121,Northern Metropolitan,14949,2.4
1037,Richmond,3,h,1310000,1/07/2017,3121,Northern Metropolitan,14949,2.4
1038,Richmond,1,u,458000,1/07/2017,3121,Northern Metropolitan,14949,2.4
1039,Richmond,2,h,1442000,1/07/2017,3121,Northern Metropolitan,14949,2.4
1040,Richmond,4,h,2200000,1/07/2017,3121,Northern Metropolitan,14949,2.4
1042,Ringwood,3,h,750000,1/07/2017,3134,Eastern Metropolitan,7785,19.9
1045,Ringwood East,2,u,560000,1/07/2017,3135,Eastern Metropolitan,4407,21.3
1046,Rockbank,2,h,340000,1/07/2017,3335,Western Metropolitan,538,23.8
1047,Rosanna,3,h,1101000,1/07/2017,3084,Eastern Metropolitan,3540,8.9
1049,Rowville,5,h,870000,1/07/2017,3178,South-Eastern Metropolitan,11667,23.5
1051,Roxburgh Park,3,h,420000,1/07/2017,3064,Northern Metropolitan,5833,20.6
1052,Sandringham,2,u,643500,1/07/2017,3191,Southern Metropolitan,4497,15.2
1053,Seabrook,3,h,625000,1/07/2017,3028,Western Metropolitan,1793,15.5
1054,Seaford,3,h,610000,1/07/2017,3198,South-Eastern Metropolitan,8077,35.4
1055,Seaford,3,h,565000,1/07/2017,3198,South-Eastern Metropolitan,8077,35.4
1056,Seaford,3,u,572000,1/07/2017,3198,South-Eastern Metropolitan,8077,35.4
1057,Seaholme,4,t,1090000,1/07/2017,3018,Western Metropolitan,852,11.0
1058,Seaholme,2,t,455000,1/07/2017,3018,Western Metropolitan,852,11.0
1059,Seddon,2,h,750000,1/07/2017,3011,Western Metropolitan,2417,5.1
1060,Seddon,2,h,850000,1/07/2017,3011,Western Metropolitan,2417,5.1
1061,Skye,4,h,640000,1/07/2017,3977,South-Eastern Metropolitan,2756,34.7
1063,South Melbourne,2,h,1030000,1/07/2017,3205,Southern Metropolitan,5943,1.9
1064,South Morang,4,h,600000,1/07/2017,3752,Northern Metropolitan,7969,20.5
1067,South Morang,3,u,386000,1/07/2017,3752,Northern Metropolitan,7969,20.5
1068,South Yarra,2,u,857000,1/07/2017,3141,Southern Metropolitan,14887,2.7
1070,South Yarra,2,h,1160000,1/07/2017,3141,Southern Metropolitan,14887,2.7
1072,South Yarra,3,u,1235000,1/07/2017,3141,Southern Metropolitan,14887,2.7
1073,Springvale,3,h,752500,1/07/2017,3171,South-Eastern Metropolitan,7412,20.8
1076,St Albans,3,h,565000,1/07/2017,3021,Western Metropolitan,14042,14.0
1077,St Albans,3,t,500000,1/07/2017,3021,Western Metropolitan,14042,14.0
1078,St Albans,3,h,610000,1/07/2017,3021,Western Metropolitan,14042,14.0
1079,St Albans,2,t,445000,1/07/2017,3021,Western Metropolitan,14042,14.0
1081,St Helena,4,h,801000,1/07/2017,3088,Eastern Metropolitan,915,16.1
1082,St Kilda,1,u,350000,1/07/2017,3182,Southern Metropolitan,13240,5.0
1083,St Kilda,2,u,525000,1/07/2017,3182,Southern Metropolitan,13240,5.0
1084,St Kilda,1,u,517500,1/07/2017,3182,Southern Metropolitan,13240,5.0
1085,St Kilda,2,u,365000,1/07/2017,3182,Southern Metropolitan,13240,5.0
1086,St Kilda,2,u,460000,1/07/2017,3182,Southern Metropolitan,13240,5.0
1087,Strathmore,4,h,1725000,1/07/2017,3041,Western Metropolitan,3284,8.2
1088,Strathmore,2,h,646000,1/07/2017,3041,Western Metropolitan,3284,8.2
1089,Strathmore,4,h,1190000,1/07/2017,3041,Western Metropolitan,3284,8.2
1090,Strathmore Heights,2,h,635500,1/07/2017,3041,Western Metropolitan,389,8.2
1091,Sunbury,4,h,580000,1/07/2017,3429,Western Metropolitan,14092,31.7
1092,Sunbury,3,h,413000,1/07/2017,3429,Western Metropolitan,14092,31.7
1093,Sunbury,3,h,420000,1/07/2017,3429,Western Metropolitan,14092,31.7
1094,Sunbury,3,h,650000,1/07/2017,3429,Western Metropolitan,14092,31.7
1095,Sunshine,3,t,525000,1/07/2017,3020,Western Metropolitan,3755,10.5
1096,Sunshine North,3,h,780000,1/07/2017,3020,Western Metropolitan,4217,10.5
1097,Sunshine West,4,h,765000,1/07/2017,3020,Western Metropolitan,6763,10.5
1098,Surrey Hills,4,h,1420000,1/07/2017,3127,Southern Metropolitan,5457,10.2
1099,Surrey Hills,3,h,2100000,1/07/2017,3127,Southern Metropolitan,5457,10.2
1100,Surrey Hills,3,h,1385000,1/07/2017,3127,Southern Metropolitan,5457,10.2
1101,Sydenham,2,h,417000,1/07/2017,3037,Western Metropolitan,3640,18.0
1103,Tarneit,4,h,810000,1/07/2017,3029,Western Metropolitan,10160,18.4
1104,Tarneit,3,h,451500,1/07/2017,3029,Western Metropolitan,10160,18.4
1105,Tarneit,3,h,526000,1/07/2017,3029,Western Metropolitan,10160,18.4
1106,Taylors Hill,4,h,605500,1/07/2017,3037,Western Metropolitan,4242,18.0
1107,Taylors Lakes,3,u,500000,1/07/2017,3038,Western Metropolitan,5336,15.5
1108,Taylors Lakes,3,h,427500,1/07/2017,3038,Western Metropolitan,5336,15.5
1110,Tecoma,4,h,855000,1/07/2017,3160,Eastern Victoria,869,30.4
1113,Templestowe Lower,5,h,1705000,1/07/2017,3107,Eastern Metropolitan,5420,12.4
1114,The Basin,3,h,551200,1/07/2017,3154,Eastern Metropolitan,1690,27.0
1117,Thomastown,3,u,542000,1/07/2017,3074,Northern Metropolitan,7955,15.3
1120,Thornbury,4,h,2070000,1/07/2017,3071,Northern Metropolitan,8870,7.0
1121,Toorak,6,h,2800000,1/07/2017,3142,Southern Metropolitan,7217,4.1
1122,Truganina,2,t,385000,1/07/2017,3029,Western Metropolitan,5811,18.4
1123,Tullamarine,3,h,500000,1/07/2017,3043,Western Metropolitan,3296,12.9
1125,Tullamarine,4,h,821000,1/07/2017,3043,Western Metropolitan,3296,12.9
1126,Vermont,3,t,917000,1/07/2017,3133,Eastern Metropolitan,4181,17.2
1128,Viewbank,4,h,1115000,1/07/2017,3084,Eastern Metropolitan,2698,8.9
1129,Viewbank,3,h,905000,1/07/2017,3084,Eastern Metropolitan,2698,8.9
1131,Wantirna,2,h,450000,1/07/2017,3152,Eastern Metropolitan,5424,14.7
1132,Wantirna South,3,h,1015000,1/07/2017,3152,Eastern Metropolitan,7082,14.7
1135,Werribee,3,h,510000,1/07/2017,3030,Western Metropolitan,16166,14.7
1136,Werribee,4,h,645000,1/07/2017,3030,Western Metropolitan,16166,14.7
1137,Werribee,3,h,427000,1/07/2017,3030,Western Metropolitan,16166,14.7
1138,Werribee,3,h,600000,1/07/2017,3030,Western Metropolitan,16166,14.7
1139,Werribee South,2,h,355000,1/07/2017,3030,Western Metropolitan,821,14.7
1140,West Footscray,3,h,845000,1/07/2017,3012,Western Metropolitan,5058,6.4
1141,West Footscray,2,h,876000,1/07/2017,3012,Western Metropolitan,5058,6.4
1143,Westmeadows,3,h,578000,1/07/2017,3049,Northern Metropolitan,2474,16.5
1144,Williams Landing,4,h,510000,1/07/2017,3027,Western Metropolitan,1999,17.6
1145,Wollert,2,u,390000,1/07/2017,3750,Northern Metropolitan,2940,25.5
1146,Wollert,4,h,525000,1/07/2017,3750,Northern Metropolitan,2940,25.5
1147,Wyndham Vale,3,h,480000,1/07/2017,3024,Western Metropolitan,5262,27.2
1148,Wyndham Vale,3,h,471100,1/07/2017,3024,Western Metropolitan,5262,27.2
1149,Yarraville,4,h,1000000,1/07/2017,3013,Western Metropolitan,6543,6.3
1150,Yarraville,3,h,1240000,1/07/2017,3013,Western Metropolitan,6543,6.3
1151,Yarraville,3,h,1115000,1/07/2017,3013,Western Metropolitan,6543,6.3
1153,Airport West,3,h,750000,1/09/2018,3042,Western Metropolitan,3464,10.4
1154,Airport West,3,u,685000,1/09/2018,3042,Western Metropolitan,3464,10.4
1158,Alphington,2,u,520000,1/09/2018,3078,Northern Metropolitan,2211,5.7
1161,Ascot Vale,2,h,1015000,1/09/2018,3032,Western Metropolitan,6567,4.3
1162,Ashburton,4,h,1450000,1/09/2018,3147,Southern Metropolitan,3052,10.2
1166,Aspendale Gardens,3,h,800000,1/09/2018,3195,South-Eastern Metropolitan,2243,21.5
1167,Aspendale Gardens,4,h,1034000,1/09/2018,3195,South-Eastern Metropolitan,2243,21.5
1168,Balwyn,3,t,1410000,1/09/2018,3103,Southern Metropolitan,5682,7.9
1169,Balwyn,3,t,1500000,1/09/2018,3103,Southern Metropolitan,5682,7.9
1171,Balwyn North,4,h,2740000,1/09/2018,3104,Southern Metropolitan,7809,9.7
1172,Balwyn North,2,h,815000,1/09/2018,3104,Southern Metropolitan,7809,9.7
1174,Bayswater,2,u,580000,1/09/2018,3153,Eastern Metropolitan,5030,23.2
1175,Bayswater,3,h,618000,1/09/2018,3153,Eastern Metropolitan,5030,23.2
1176,Beaumaris,2,u,830000,1/09/2018,3193,Southern Metropolitan,5366,17.3
1177,Beaumaris,4,h,1400000,1/09/2018,3193,Southern Metropolitan,5366,17.3
1178,Beaumaris,4,h,1200000,1/09/2018,3193,Southern Metropolitan,5366,17.3
1179,Beaumaris,3,h,1400000,1/09/2018,3193,Southern Metropolitan,5366,17.3
1180,Beaumaris,4,h,2305000,1/09/2018,3193,Southern Metropolitan,5366,17.3
1182,Bentleigh,3,h,1710000,1/09/2018,3204,Southern Metropolitan,6795,11.4
1184,Bentleigh,3,h,1380000,1/09/2018,3204,Southern Metropolitan,6795,11.4
1185,Bentleigh,3,t,1280000,1/09/2018,3204,Southern Metropolitan,6795,11.4
1186,Bentleigh,4,h,1900000,1/09/2018,3204,Southern Metropolitan,6795,11.4
1187,Bentleigh,5,h,2645000,1/09/2018,3204,Southern Metropolitan,6795,11.4
1188,Bentleigh East,3,t,892500,1/09/2018,3165,Southern Metropolitan,10969,13.8
1189,Bentleigh East,3,h,1235000,1/09/2018,3165,Southern Metropolitan,10969,13.8
1190,Bentleigh East,4,h,1145000,1/09/2018,3165,Southern Metropolitan,10969,13.8
1191,Bentleigh East,3,h,1000000,1/09/2018,3165,Southern Metropolitan,10969,13.8
1192,Bentleigh East,4,t,1205000,1/09/2018,3165,Southern Metropolitan,10969,13.8
1193,Bentleigh East,4,h,900000,1/09/2018,3165,Southern Metropolitan,10969,13.8
1194,Bentleigh East,4,h,1000000,1/09/2018,3165,Southern Metropolitan,10969,13.8
1197,Bentleigh East,4,h,1345000,1/09/2018,3165,Southern Metropolitan,10969,13.8
1198,Bentleigh East,4,t,1260000,1/09/2018,3165,Southern Metropolitan,10969,13.8
1199,Bentleigh East,3,h,1125000,1/09/2018,3165,Southern Metropolitan,10969,13.8
1201,Black Rock,2,u,842000,1/09/2018,3193,Southern Metropolitan,2866,17.3
1202,Blackburn,2,u,689000,1/09/2018,3130,Eastern Metropolitan,5713,13.4
1203,Blackburn North,3,h,890000,1/09/2018,3130,Eastern Metropolitan,2867,13.4
1204,Blackburn North,3,h,860000,1/09/2018,3130,Eastern Metropolitan,2867,13.4
1207,Blackburn South,4,h,980000,1/09/2018,3130,Eastern Metropolitan,4387,13.4
1208,Box Hill,8,h,1410000,1/09/2018,3128,Eastern Metropolitan,4605,10.9
1209,Braybrook,2,h,765000,1/09/2018,3019,Western Metropolitan,3589,8.6
1210,Braybrook,2,h,800000,1/09/2018,3019,Western Metropolitan,3589,8.6
1211,Briar Hill,2,h,630000,1/09/2018,3088,Eastern Metropolitan,1390,16.1
1212,Brighton,2,u,1086000,1/09/2018,3186,Southern Metropolitan,10579,10.5
1216,Brighton East,4,h,1550000,1/09/2018,3187,Southern Metropolitan,6938,10.3
1217,Brighton East,4,h,2800000,1/09/2018,3187,Southern Metropolitan,6938,10.3
1220,Brunswick,2,h,850000,1/09/2018,3056,Northern Metropolitan,11918,5.2
1221,Brunswick,2,h,880000,1/09/2018,3056,Northern Metropolitan,11918,5.2
1222,Brunswick,3,h,1100000,1/09/2018,3056,Northern Metropolitan,11918,5.2
1223,Brunswick,2,h,700000,1/09/2018,3056,Northern Metropolitan,11918,5.2
1224,Brunswick,2,h,705000,1/09/2018,3056,Northern Metropolitan,11918,5.2
1226,Brunswick West,2,u,640000,1/09/2018,3055,Northern Metropolitan,7082,5.2
1227,Brunswick West,4,h,1450000,1/09/2018,3055,Northern Metropolitan,7082,5.2
1228,Brunswick West,2,h,1100000,1/09/2018,3055,Northern Metropolitan,7082,5.2
1229,Brunswick West,3,t,880000,1/09/2018,3055,Northern Metropolitan,7082,5.2
1230,Brunswick West,2,u,502000,1/09/2018,3055,Northern Metropolitan,7082,5.2
1231,Brunswick West,2,u,475000,1/09/2018,3055,Northern Metropolitan,7082,5.2
1232,Bulleen,4,h,1220000,1/09/2018,3105,Eastern Metropolitan,4480,10.8
1233,Bulleen,4,t,1300000,1/09/2018,3105,Eastern Metropolitan,4480,10.8
1234,Bulleen,4,h,1241000,1/09/2018,3105,Eastern Metropolitan,4480,10.8
1235,Bundoora,4,h,800500,1/09/2018,3083,Northern Metropolitan,10175,12.1
1236,Bundoora,3,h,730000,1/09/2018,3083,Northern Metropolitan,10175,12.1
1237,Bundoora,3,h,631000,1/09/2018,3083,Northern Metropolitan,10175,12.1
1238,Bundoora,4,h,1300000,1/09/2018,3083,Northern Metropolitan,10175,12.1
1240,Burwood,3,h,1195000,1/09/2018,3125,Southern Metropolitan,5678,10.4
1241,Burwood,3,h,860000,1/09/2018,3125,Southern Metropolitan,5678,10.4
1242,Burwood East,3,h,900000,1/09/2018,3151,Eastern Metropolitan,4048,14.7
1243,Burwood East,3,h,1080000,1/09/2018,3151,Eastern Metropolitan,4048,14.7
1245,Camberwell,2,u,1100000,1/09/2018,3124,Southern Metropolitan,8920,7.7
1247,Carlton,3,u,800000,1/09/2018,3053,Northern Metropolitan,6786,1.6
1248,Carlton,2,u,710000,1/09/2018,3053,Northern Metropolitan,6786,1.6
1249,Carlton,3,h,1650000,1/09/2018,3053,Northern Metropolitan,6786,1.6
1250,Carlton North,2,h,1500000,1/09/2018,3054,Northern Metropolitan,3106,3.5
1252,Caulfield South,3,h,1100000,1/09/2018,3162,Southern Metropolitan,5051,8.7
1253,Caulfield South,3,h,1250000,1/09/2018,3162,Southern Metropolitan,5051,8.7
1254,Cheltenham,3,h,1175000,1/09/2018,3192,Southern Metropolitan,9758,17.9
1255,Cheltenham,3,u,736000,1/09/2018,3192,Southern Metropolitan,9758,17.9
1256,Clayton,3,h,1450000,1/09/2018,3168,South-Eastern Metropolitan,5837,16.7
1257,Clayton South,3,h,850000,1/09/2018,3169,South-Eastern Metropolitan,4734,17.5
1258,Clifton Hill,3,h,1580000,1/09/2018,3068,Northern Metropolitan,2954,3.6
1259,Coburg,5,h,1250000,1/09/2018,3058,Northern Metropolitan,11204,6.7
1260,Coburg,3,t,650000,1/09/2018,3058,Northern Metropolitan,11204,6.7
1261,Coburg,3,h,930000,1/09/2018,3058,Northern Metropolitan,11204,6.7
1262,Coburg,3,h,860000,1/09/2018,3058,Northern Metropolitan,11204,6.7
1263,Coburg North,3,h,777500,1/09/2018,3058,Northern Metropolitan,3445,6.7
1264,Coburg North,5,h,790000,1/09/2018,3058,Northern Metropolitan,3445,6.7
1266,Craigieburn,3,h,560000,1/09/2018,3064,Northern Metropolitan,15510,20.6
1267,Craigieburn,3,h,460000,1/09/2018,3064,Northern Metropolitan,15510,20.6
1268,Craigieburn,4,h,506000,1/09/2018,3064,Northern Metropolitan,15510,20.6
1269,Craigieburn,3,h,410000,1/09/2018,3064,Northern Metropolitan,15510,20.6
1272,Craigieburn,3,h,535000,1/09/2018,3064,Northern Metropolitan,15510,20.6
1273,Craigieburn,4,h,562000,1/09/2018,3064,Northern Metropolitan,15510,20.6
1275,Croydon South,3,h,780000,1/09/2018,3136,Eastern Metropolitan,1863,23.0
1277,Dallas,4,h,600000,1/09/2018,3047,Northern Metropolitan,2246,14.0
1278,Dandenong North,4,h,640000,1/09/2018,3175,South-Eastern Metropolitan,8322,24.7
1280,Delahey,3,h,550000,1/09/2018,3037,Western Metropolitan,2898,18.0
1281,Dingley Village,3,u,708000,1/09/2018,3172,South-Eastern Metropolitan,3940,22.2
1283,Doncaster,4,h,1550000,1/09/2018,3108,Eastern Metropolitan,9028,12.4
1284,Doncaster East,2,u,745000,1/09/2018,3109,Eastern Metropolitan,10999,14.3
1285,Doncaster East,4,h,1575000,1/09/2018,3109,Eastern Metropolitan,10999,14.3
1286,Doncaster East,3,h,1146000,1/09/2018,3109,Eastern Metropolitan,10999,14.3
1287,Doreen,3,h,515000,1/09/2018,3754,Northern Victoria,7254,25.9
1288,Eaglemont,4,h,1560000,1/09/2018,3084,Eastern Metropolitan,1651,8.9
1289,Edithvale,3,h,840000,1/09/2018,3196,South-Eastern Metropolitan,2546,27.0
1291,Eltham,4,h,870000,1/09/2018,3095,Eastern Metropolitan,6990,18.0
1292,Eltham North,4,h,820000,1/09/2018,3095,Eastern Metropolitan,2346,18.0
1294,Elwood,1,u,420000,1/09/2018,3184,Southern Metropolitan,8989,7.2
1295,Elwood,1,u,648500,1/09/2018,3184,Southern Metropolitan,8989,7.2
1297,Elwood,2,u,985000,1/09/2018,3184,Southern Metropolitan,8989,7.2
1298,Epping,4,h,565000,1/09/2018,3076,Northern Metropolitan,10926,19.6
1299,Essendon,2,u,485000,1/09/2018,3040,Western Metropolitan,9264,7.5
1300,Essendon,4,h,2140000,1/09/2018,3040,Western Metropolitan,9264,7.5
1301,Essendon,3,h,1170000,1/09/2018,3040,Western Metropolitan,9264,7.5
1302,Essendon,3,h,1350000,1/09/2018,3040,Western Metropolitan,9264,7.5
1303,Essendon,4,h,1900000,1/09/2018,3040,Western Metropolitan,9264,7.5
1305,Essendon West,4,h,1450000,1/09/2018,3040,Western Metropolitan,588,7.5
1306,Essendon West,2,u,460000,1/09/2018,3040,Western Metropolitan,588,7.5
