,Date,Suburb,Postcode,Distance,Type,Rooms,Price
5216,3/12/2016,Craigieburn,3064,20.6,h,3,391000
5221,3/12/2016,Craigieburn,3064,20.6,h,3,446000
5222,3/12/2016,Craigieburn,3064,20.6,h,4,520000
5223,3/12/2016,Cranbourne,3977,34.7,h,5,600000
5226,3/12/2016,Croydon Hills,3136,23.0,h,4,986000
5228,3/12/2016,Croydon South,3136,23.0,h,3,631000
5230,3/12/2016,Dandenong,3175,24.7,h,3,650000
5233,3/12/2016,Dandenong North,3175,24.7,h,3,601000
5234,3/12/2016,Dandenong North,3175,24.7,h,3,526000
5235,3/12/2016,Deepdene,3103,7.9,h,3,2302000
5237,3/12/2016,Dingley Village,3172,22.2,h,4,905000
5238,3/12/2016,Dingley Village,3172,22.2,h,4,882000
5239,3/12/2016,Doncaster,3108,12.4,h,3,1403000
5240,3/12/2016,Doncaster,3108,12.4,h,4,1408000
5241,3/12/2016,Doncaster,3108,12.4,t,4,855000
5242,3/12/2016,Doncaster,3108,12.4,h,3,1450000
5243,3/12/2016,Doncaster,3108,12.4,h,5,1461800
5244,3/12/2016,Doncaster,3108,12.4,h,4,1396000
5246,3/12/2016,Doncaster East,3109,14.3,u,3,930000
5247,3/12/2016,Doncaster East,3109,14.3,h,3,1730000
5248,3/12/2016,Donvale,3111,16.1,h,5,1820000
5249,3/12/2016,Doreen,3754,25.9,h,4,770000
5250,3/12/2016,East Melbourne,3002,1.3,h,2,4525000
5251,3/12/2016,Elsternwick,3185,7.2,h,3,1625000
5252,3/12/2016,Elsternwick,3185,7.2,h,2,906000
5253,3/12/2016,Elsternwick,3185,7.2,h,4,1100000
5255,3/12/2016,Eltham,3095,18.0,h,4,890000
5257,3/12/2016,Eltham North,3095,18.0,h,3,870000
5258,3/12/2016,Eltham North,3095,18.0,h,4,874000
5259,3/12/2016,Elwood,3184,7.2,u,1,392500
5260,3/12/2016,Elwood,3184,7.2,u,2,507000
5261,3/12/2016,Elwood,3184,7.2,u,2,525000
5262,3/12/2016,Elwood,3184,7.2,h,3,2116000
5264,3/12/2016,Elwood,3184,7.2,u,2,750000
5265,3/12/2016,Elwood,3184,7.2,u,1,510000
5266,3/12/2016,Elwood,3184,7.2,u,2,599999
5267,3/12/2016,Elwood,3184,7.2,u,1,300000
5270,3/12/2016,Emerald,3782,36.9,h,2,462000
5272,3/12/2016,Epping,3076,19.6,u,3,580000
5274,3/12/2016,Epping,3076,19.6,h,4,430000
5275,3/12/2016,Epping,3076,19.6,h,3,493000
5277,3/12/2016,Epping,3076,19.6,h,4,505000
5278,3/12/2016,Epping,3076,19.6,h,3,500000
5279,3/12/2016,Essendon,3040,7.5,h,3,980000
5281,3/12/2016,Essendon,3040,7.5,u,2,531500
5282,3/12/2016,Essendon,3040,7.5,h,3,1295000
5284,3/12/2016,Essendon,3040,7.5,h,4,1900000
5285,3/12/2016,Essendon,3040,7.5,t,2,595000
5287,3/12/2016,Essendon West,3040,7.5,h,3,810000
5288,3/12/2016,Fairfield,3078,5.7,h,3,1350000
5289,3/12/2016,Fawkner,3060,13.1,h,3,670000
5292,3/12/2016,Ferntree Gully,3156,24.8,h,3,535000
5293,3/12/2016,Flemington,3031,3.4,u,2,365000
5294,3/12/2016,Flemington,3031,3.4,t,2,553000
5295,3/12/2016,Footscray,3011,5.1,h,4,1225000
5296,3/12/2016,Footscray,3011,5.1,u,2,431000
5297,3/12/2016,Footscray,3011,5.1,h,3,1003000
5298,3/12/2016,Footscray,3011,5.1,h,3,840000
5299,3/12/2016,Footscray,3011,5.1,h,3,1362000
5300,3/12/2016,Footscray,3011,5.1,h,4,977000
5301,3/12/2016,Forest Hill,3131,15.4,h,5,1587000
5302,3/12/2016,Frankston,3199,38.0,h,3,660000
5303,3/12/2016,Frankston,3199,38.0,h,4,590000
5304,3/12/2016,Frankston,3199,38.0,h,3,615000
5305,3/12/2016,Frankston,3199,38.0,h,4,584000
5306,3/12/2016,Frankston,3199,38.0,h,3,452000
5307,3/12/2016,Frankston South,3199,38.0,h,4,800000
5308,3/12/2016,Frankston South,3199,38.0,h,3,585000
5309,3/12/2016,Frankston South,3199,38.0,h,3,610000
5310,3/12/2016,Gisborne,3437,45.9,h,4,1311000
5311,3/12/2016,Gladstone Park,3043,12.9,h,3,560000
5312,3/12/2016,Glen Iris,3146,7.3,h,4,1800000
5314,3/12/2016,Glen Iris,3146,7.3,u,1,350000
5315,3/12/2016,Glen Iris,3146,7.3,h,3,2260000
5316,3/12/2016,Glen Iris,3146,7.3,t,3,1753000
5318,3/12/2016,Glen Iris,3146,7.3,h,4,1998000
5319,3/12/2016,Glen Waverley,3150,16.7,h,3,1011000
5320,3/12/2016,Glen Waverley,3150,16.7,h,4,1330000
5321,3/12/2016,Glen Waverley,3150,16.7,h,3,1360000
5322,3/12/2016,Glen Waverley,3150,16.7,t,5,1430000
5323,3/12/2016,Glen Waverley,3150,16.7,u,3,1100000
5324,3/12/2016,Glen Waverley,3150,16.7,h,3,1364000
5328,3/12/2016,Glen Waverley,3150,16.7,u,2,587600
5329,3/12/2016,Glen Waverley,3150,16.7,h,3,1505000
5330,3/12/2016,Glen Waverley,3150,16.7,h,3,1038500
5333,3/12/2016,Glenroy,3046,11.2,h,3,610000
5334,3/12/2016,Glenroy,3046,11.2,t,3,555000
5335,3/12/2016,Glenroy,3046,11.2,h,3,500000
5336,3/12/2016,Glenroy,3046,11.2,h,3,800000
5337,3/12/2016,Glenroy,3046,11.2,h,3,806500
5339,3/12/2016,Glenroy,3046,11.2,h,5,1150000
5341,3/12/2016,Greensborough,3088,16.1,h,4,1250000
5342,3/12/2016,Greensborough,3088,16.1,h,5,791500
5343,3/12/2016,Greensborough,3088,16.1,h,3,645000
5344,3/12/2016,Greensborough,3088,16.1,h,3,840000
5345,3/12/2016,Greensborough,3088,16.1,h,3,1000000
5346,3/12/2016,Greenvale,3059,20.4,h,4,686000
5347,3/12/2016,Greenvale,3059,20.4,h,4,1030000
5348,3/12/2016,Hadfield,3046,11.2,h,2,610000
5349,3/12/2016,Hadfield,3046,11.2,h,3,630000
5350,3/12/2016,Hadfield,3046,11.2,h,4,870000
5351,3/12/2016,Hampton,3188,13.8,h,2,1871000
5352,3/12/2016,Hampton,3188,13.8,h,4,2140000
5354,3/12/2016,Hampton,3188,13.8,h,4,1600000
5356,3/12/2016,Hampton,3188,13.8,t,3,2200000
5357,3/12/2016,Hampton,3188,13.8,h,3,1003500
5358,3/12/2016,Hampton,3188,13.8,u,2,802000
5359,3/12/2016,Hampton,3188,13.8,t,4,1500000
5360,3/12/2016,Hampton,3188,13.8,h,4,1686500
5366,3/12/2016,Hawthorn,3122,5.3,h,3,5100000
5367,3/12/2016,Hawthorn,3122,5.3,h,4,2670000
5370,3/12/2016,Hawthorn,3122,5.3,h,3,1480000
5371,3/12/2016,Hawthorn,3122,5.3,u,1,348000
5373,3/12/2016,Hawthorn,3122,5.3,u,1,320000
5375,3/12/2016,Hawthorn,3122,5.3,u,3,1189000
5376,3/12/2016,Hawthorn East,3123,6.2,h,2,1550000
5379,3/12/2016,Hawthorn East,3123,6.2,h,3,2151000
5381,3/12/2016,Hawthorn East,3123,6.2,h,2,1140000
5383,3/12/2016,Heathmont,3135,21.3,h,4,1240000
5384,3/12/2016,Heathmont,3135,21.3,h,3,837000
5387,3/12/2016,Heidelberg,3084,8.9,u,2,546500
5390,3/12/2016,Heidelberg West,3081,8.8,h,3,560000
5391,3/12/2016,Heidelberg West,3081,8.8,h,2,735000
5392,3/12/2016,Highett,3190,16.0,h,4,1380000
5393,3/12/2016,Highett,3190,16.0,h,4,1800000
5394,3/12/2016,Highett,3190,16.0,t,3,1100000
5396,3/12/2016,Highett,3190,16.0,h,3,1000000
5397,3/12/2016,Highett,3190,16.0,h,4,1207500
5398,3/12/2016,Hillside,3037,18.0,h,3,382000
5399,3/12/2016,Hoppers Crossing,3029,18.4,h,5,683000
5400,3/12/2016,Hoppers Crossing,3029,18.4,h,3,444000
5401,3/12/2016,Hoppers Crossing,3029,18.4,h,3,390000
5402,3/12/2016,Hoppers Crossing,3029,18.4,h,5,488000
5403,3/12/2016,Hoppers Crossing,3029,18.4,h,3,465000
5404,3/12/2016,Hoppers Crossing,3029,18.4,h,4,505000
5405,3/12/2016,Hoppers Crossing,3029,18.4,h,3,420000
5406,3/12/2016,Hughesdale,3166,12.3,h,3,1490000
5407,3/12/2016,Hughesdale,3166,12.3,h,3,1340000
5408,3/12/2016,Ivanhoe,3079,7.8,u,2,430000
5409,3/12/2016,Ivanhoe,3079,7.8,u,1,460000
5410,3/12/2016,Ivanhoe,3079,7.8,h,4,1601000
5411,3/12/2016,Ivanhoe East,3079,7.8,h,4,1775000
5412,3/12/2016,Ivanhoe East,3079,7.8,h,5,3850000
5413,3/12/2016,Jacana,3047,14.0,h,3,470000
5414,3/12/2016,Kealba,3021,14.0,h,4,740000
5415,3/12/2016,Keilor Downs,3038,15.5,h,4,681000
5416,3/12/2016,Keilor East,3033,11.7,t,3,770000
5417,3/12/2016,Keilor East,3033,11.7,t,3,480000
5418,3/12/2016,Keilor East,3033,11.7,h,3,590000
5419,3/12/2016,Keilor East,3033,11.7,h,4,900000
5422,3/12/2016,Kensington,3031,3.4,h,2,775000
5423,3/12/2016,Kew,3101,5.4,u,2,562500
5425,3/12/2016,Kew,3101,5.4,u,2,520000
5426,3/12/2016,Kew,3101,5.4,h,4,2250000
5427,3/12/2016,Kew,3101,5.4,h,5,4350000
5430,3/12/2016,Kings Park,3021,14.0,h,3,422500
5431,3/12/2016,Kingsbury,3083,12.1,u,3,480000
5432,3/12/2016,Kingsville,3012,6.4,h,2,677200
5433,3/12/2016,Kingsville,3012,6.4,h,3,960000
5434,3/12/2016,Knoxfield,3180,23.3,h,4,1077000
5435,3/12/2016,Knoxfield,3180,23.3,h,3,750000
5436,3/12/2016,Lalor,3075,16.3,h,3,662000
5438,3/12/2016,Lalor,3075,16.3,h,3,540000
5439,3/12/2016,Lalor,3075,16.3,h,2,568000
5440,3/12/2016,Lalor,3075,16.3,h,3,580000
5441,3/12/2016,Langwarrin,3910,41.0,h,3,525000
5443,3/12/2016,Lower Plenty,3093,14.6,h,3,990000
5444,3/12/2016,MacLeod,3085,12.7,h,3,706000
5446,3/12/2016,MacLeod,3085,12.7,h,3,1002000
5447,3/12/2016,Maidstone,3012,6.4,u,2,275000
5448,3/12/2016,Maidstone,3012,6.4,h,2,711000
5449,3/12/2016,Maidstone,3012,6.4,t,3,640000
5450,3/12/2016,Malvern,3144,5.9,u,2,2660000
5453,3/12/2016,Malvern East,3145,8.4,u,3,980000
5455,3/12/2016,Malvern East,3145,8.4,h,4,2055000
5456,3/12/2016,Malvern East,3145,8.4,h,4,2400000
5457,3/12/2016,Malvern East,3145,8.4,h,4,2355000
5458,3/12/2016,Malvern East,3145,8.4,h,2,1036000
5460,3/12/2016,Malvern East,3145,8.4,h,4,1301000
5461,3/12/2016,Malvern East,3145,8.4,h,3,2273000
5463,3/12/2016,Malvern East,3145,8.4,h,5,2350000
5464,3/12/2016,Maribyrnong,3032,4.3,t,3,800000
5465,3/12/2016,Maribyrnong,3032,4.3,h,3,870000
5466,3/12/2016,Maribyrnong,3032,4.3,u,2,635000
5467,3/12/2016,Maribyrnong,3032,4.3,h,3,975000
5468,3/12/2016,McKinnon,3204,11.4,t,2,708000
5469,3/12/2016,Melbourne,3000,0.0,u,1,365000
5470,3/12/2016,Melbourne,3000,0.0,u,1,427000
5471,3/12/2016,Melbourne,3000,0.0,u,2,1200000
5472,3/12/2016,Melton,3337,31.7,h,4,323000
5476,3/12/2016,Mentone,3194,20.0,t,2,722000
5478,3/12/2016,Mentone,3194,20.0,u,1,295000
5480,3/12/2016,Mentone,3194,20.0,h,3,1105000
5481,3/12/2016,Mentone,3194,20.0,u,2,481000
5483,3/12/2016,Middle Park,3206,3.0,h,3,2350000
5484,3/12/2016,Mill Park,3082,17.9,h,4,710500
5485,3/12/2016,Mill Park,3082,17.9,h,4,652500
5486,3/12/2016,Mill Park,3082,17.9,h,3,600000
5487,3/12/2016,Mill Park,3082,17.9,h,4,840000
5488,3/12/2016,Mill Park,3082,17.9,h,3,492000
5489,3/12/2016,Mitcham,3132,17.2,h,4,1090000
5491,3/12/2016,Mitcham,3132,17.2,h,3,1062000
5492,3/12/2016,Montmorency,3094,16.2,h,3,975000
5493,3/12/2016,Montmorency,3094,16.2,h,3,1010000
5494,3/12/2016,Moonee Ponds,3039,6.2,h,4,1715000
5496,3/12/2016,Moonee Ponds,3039,6.2,h,3,1055000
5497,3/12/2016,Moonee Ponds,3039,6.2,u,2,348000
5498,3/12/2016,Moorabbin,3189,14.3,h,4,930000
5499,3/12/2016,Moorabbin,3189,14.3,h,3,1090000
5500,3/12/2016,Moorabbin,3189,14.3,h,4,947500
5501,3/12/2016,Moorabbin,3189,14.3,h,3,836000
5502,3/12/2016,Mordialloc,3195,21.5,h,5,1780000
5503,3/12/2016,Mordialloc,3195,21.5,h,3,900000
5504,3/12/2016,Mordialloc,3195,21.5,u,2,380000
5505,3/12/2016,Mount Waverley,3149,14.2,h,3,1450000
5509,3/12/2016,Mount Waverley,3149,14.2,h,5,1450000
5511,3/12/2016,Mount Waverley,3149,14.2,h,5,1495000
5513,3/12/2016,Mount Waverley,3149,14.2,u,2,740000
5514,3/12/2016,Mount Waverley,3149,14.2,h,3,1300000
5515,3/12/2016,Mount Waverley,3149,14.2,h,4,1855500
5517,3/12/2016,Mount Waverley,3149,14.2,h,4,1050000
5518,3/12/2016,Mount Waverley,3149,14.2,h,3,976000
5519,3/12/2016,Mount Waverley,3149,14.2,h,5,1850000
5520,3/12/2016,Mulgrave,3170,18.8,h,4,990000
5521,3/12/2016,Mulgrave,3170,18.8,h,3,730000
5524,3/12/2016,Murrumbeena,3163,10.1,t,4,1185000
5528,3/12/2016,Newport,3015,6.2,h,3,900000
5529,3/12/2016,Newport,3015,6.2,h,3,930000
5530,3/12/2016,Newport,3015,6.2,t,3,962000
5531,3/12/2016,Niddrie,3042,10.4,h,3,1020000
5532,3/12/2016,Niddrie,3042,10.4,h,1,1330000
5533,3/12/2016,Niddrie,3042,10.4,h,4,1126000
5534,3/12/2016,Noble Park,3174,22.7,t,3,623000
5535,3/12/2016,North Melbourne,3051,1.8,u,2,540000
5536,3/12/2016,North Melbourne,3051,1.8,u,1,340000
5539,3/12/2016,Notting Hill,3168,16.7,h,3,918000
5540,3/12/2016,Nunawading,3131,15.4,h,3,1090000
5541,3/12/2016,Nunawading,3131,15.4,t,4,950000
5542,3/12/2016,Nunawading,3131,15.4,h,3,1235000
5543,3/12/2016,Nunawading,3131,15.4,h,2,1250000
5545,3/12/2016,Nunawading,3131,15.4,h,3,1226000
5546,3/12/2016,Oak Park,3046,11.2,u,3,647000
5548,3/12/2016,Oak Park,3046,11.2,h,4,865000
5551,3/12/2016,Oakleigh South,3167,15.5,h,3,981000
5552,3/12/2016,Oakleigh South,3167,15.5,h,4,1100000
5553,3/12/2016,Ormond,3204,11.4,h,3,1401000
5554,3/12/2016,Ormond,3204,11.4,h,3,800000
5555,3/12/2016,Ormond,3204,11.4,h,4,2250000
5556,3/12/2016,Ormond,3204,11.4,h,4,1715000
5557,3/12/2016,Ormond,3204,11.4,h,2,1960000
5558,3/12/2016,Ormond,3204,11.4,u,1,360500
5559,3/12/2016,Parkdale,3195,21.5,h,3,1050000
5560,3/12/2016,Parkville,3052,1.8,u,3,1360000
5561,3/12/2016,Pascoe Vale,3044,8.5,t,2,455000
5563,3/12/2016,Pascoe Vale,3044,8.5,h,2,915000
5565,3/12/2016,Pascoe Vale,3044,8.5,h,4,975000
5566,3/12/2016,Pascoe Vale,3044,8.5,h,3,770000
5567,3/12/2016,Patterson Lakes,3197,31.2,t,3,655000
5568,3/12/2016,Pentland Hills,3341,45.2,h,4,875000
5569,3/12/2016,Point Cook,3030,14.7,h,3,600000
5570,3/12/2016,Point Cook,3030,14.7,h,4,640000
5571,3/12/2016,Point Cook,3030,14.7,h,4,551000
5572,3/12/2016,Point Cook,3030,14.7,h,5,890000
5574,3/12/2016,Port Melbourne,3207,3.5,h,2,1240000
5575,3/12/2016,Port Melbourne,3207,3.5,h,3,2365000
5576,3/12/2016,Port Melbourne,3207,3.5,u,3,1380000
5577,3/12/2016,Port Melbourne,3207,3.5,h,6,1800000
5578,3/12/2016,Port Melbourne,3207,3.5,h,3,1150000
5579,3/12/2016,Port Melbourne,3207,3.5,h,3,985000
5581,3/12/2016,Port Melbourne,3207,3.5,u,3,1200000
5582,3/12/2016,Port Melbourne,3207,3.5,u,2,1340000
5583,3/12/2016,Port Melbourne,3207,3.5,h,3,2200000
5584,3/12/2016,Port Melbourne,3207,3.5,h,4,2105000
5585,3/12/2016,Prahran,3181,4.6,u,1,549800
5588,3/12/2016,Preston,3072,8.4,h,3,1200000
5589,3/12/2016,Preston,3072,8.4,h,3,721000
5590,3/12/2016,Preston,3072,8.4,h,3,751000
5592,3/12/2016,Reservoir,3073,12.0,h,3,731000
5593,3/12/2016,Reservoir,3073,12.0,h,3,798000
5594,3/12/2016,Reservoir,3073,12.0,h,3,725000
5595,3/12/2016,Reservoir,3073,12.0,u,2,352000
5596,3/12/2016,Reservoir,3073,12.0,h,3,723000
5597,3/12/2016,Reservoir,3073,12.0,u,2,336000
5598,3/12/2016,Reservoir,3073,12.0,h,3,685000
5599,3/12/2016,Reservoir,3073,12.0,u,2,550000
5601,3/12/2016,Reservoir,3073,12.0,t,3,620000
5602,3/12/2016,Reservoir,3073,12.0,h,3,620000
5603,3/12/2016,Reservoir,3073,12.0,h,3,1025000
5604,3/12/2016,Richmond,3121,2.4,h,3,1600000
5605,3/12/2016,Richmond,3121,2.4,h,3,2180000
5606,3/12/2016,Richmond,3121,2.4,u,1,370000
5609,3/12/2016,Richmond,3121,2.4,t,3,1025000
5610,3/12/2016,Richmond,3121,2.4,u,2,630000
5611,3/12/2016,Richmond,3121,2.4,h,4,3335000
5613,3/12/2016,Richmond,3121,2.4,t,3,2250000
5614,3/12/2016,Richmond,3121,2.4,h,2,935000
5615,3/12/2016,Richmond,3121,2.4,h,2,1100000
5616,3/12/2016,Ringwood,3134,19.9,u,4,580000
5618,3/12/2016,Ringwood,3134,19.9,h,5,1300000
5619,3/12/2016,Ringwood East,3135,21.3,h,3,910000
5620,3/12/2016,Ringwood East,3135,21.3,t,3,830000
5621,3/12/2016,Rosanna,3084,8.9,h,4,960000
5625,3/12/2016,Rowville,3178,23.5,h,5,835000
5626,3/12/2016,Rowville,3178,23.5,h,5,1106000
5627,3/12/2016,Roxburgh Park,3064,20.6,h,2,330000
5628,3/12/2016,Roxburgh Park,3064,20.6,h,3,385000
5629,3/12/2016,Sandringham,3191,15.2,h,2,1610000
5630,3/12/2016,Sandringham,3191,15.2,h,5,2750000
5631,3/12/2016,Sandringham,3191,15.2,h,5,3600000
5632,3/12/2016,Seaford,3198,35.4,h,3,640000
5635,3/12/2016,Seddon,3011,5.1,h,3,970000
5637,3/12/2016,South Melbourne,3205,1.9,h,2,920500
5638,3/12/2016,South Melbourne,3205,1.9,h,4,1620000
5639,3/12/2016,South Melbourne,3205,1.9,h,1,1002000
5640,3/12/2016,South Melbourne,3205,1.9,h,2,1355000
5642,3/12/2016,South Morang,3752,20.5,h,4,666000
5644,3/12/2016,South Morang,3752,20.5,h,3,390000
5646,3/12/2016,South Yarra,3141,2.7,u,2,850000
5647,3/12/2016,South Yarra,3141,2.7,u,3,1230000
5648,3/12/2016,South Yarra,3141,2.7,u,2,965000
5649,3/12/2016,South Yarra,3141,2.7,u,1,315000
5650,3/12/2016,South Yarra,3141,2.7,h,3,1510000
5653,3/12/2016,South Yarra,3141,2.7,u,1,362000
5654,3/12/2016,South Yarra,3141,2.7,u,1,402000
5655,3/12/2016,South Yarra,3141,2.7,u,3,1880000
5658,3/12/2016,Springvale,3171,20.8,h,3,730000
5659,3/12/2016,Springvale,3171,20.8,h,2,910000
5660,3/12/2016,Springvale,3171,20.8,u,3,385000
5661,3/12/2016,Springvale South,3172,22.2,h,4,775000
5663,3/12/2016,St Albans,3021,14.0,h,3,590000
5664,3/12/2016,St Albans,3021,14.0,h,3,661000
5667,3/12/2016,St Kilda,3182,5.0,u,2,671000
5668,3/12/2016,St Kilda,3182,5.0,u,2,430000
5669,3/12/2016,St Kilda,3182,5.0,u,2,770000
5670,3/12/2016,St Kilda,3182,5.0,h,2,1650000
5671,3/12/2016,St Kilda,3182,5.0,u,2,640000
5672,3/12/2016,St Kilda,3182,5.0,h,3,1500000
5673,3/12/2016,St Kilda,3182,5.0,u,2,602000
5674,3/12/2016,St Kilda,3182,5.0,h,3,1915000
5675,3/12/2016,St Kilda,3182,5.0,u,2,485000
5676,3/12/2016,St Kilda,3182,5.0,u,2,575000
5677,3/12/2016,St Kilda,3182,5.0,u,2,695000
5679,3/12/2016,St Kilda,3182,5.0,u,1,410000
5680,3/12/2016,Sunshine,3020,10.5,h,3,800000
5681,3/12/2016,Sunshine,3020,10.5,h,3,950000
5682,3/12/2016,Sunshine,3020,10.5,h,3,625000
5683,3/12/2016,Sunshine,3020,10.5,h,2,710000
5684,3/12/2016,Sunshine West,3020,10.5,h,3,488000
5686,3/12/2016,Sunshine West,3020,10.5,h,3,560000
5687,3/12/2016,Sunshine West,3020,10.5,h,3,478000
5688,3/12/2016,Sunshine West,3020,10.5,h,3,615000
5690,3/12/2016,Surrey Hills,3127,10.2,t,3,1330500
5691,3/12/2016,Surrey Hills,3127,10.2,t,3,1325000
5693,3/12/2016,Taylors Hill,3037,18.0,h,4,696000
5694,3/12/2016,Taylors Hill,3037,18.0,h,4,880000
5695,3/12/2016,Taylors Hill,3037,18.0,h,3,670000
5696,3/12/2016,Taylors Hill,3037,18.0,h,4,600000
5697,3/12/2016,Taylors Lakes,3038,15.5,h,4,842000
5698,3/12/2016,Taylors Lakes,3038,15.5,h,4,780000
5699,3/12/2016,Taylors Lakes,3038,15.5,h,4,951000
5700,3/12/2016,Templestowe,3106,15.5,t,4,850000
5701,3/12/2016,Templestowe,3106,15.5,h,4,1700000
5702,3/12/2016,Templestowe Lower,3107,12.4,h,4,1165000
5703,3/12/2016,Templestowe Lower,3107,12.4,h,3,1098000
5705,3/12/2016,Templestowe Lower,3107,12.4,h,3,742500
5706,3/12/2016,Thomastown,3074,15.3,h,4,452500
5707,3/12/2016,Thomastown,3074,15.3,u,3,650000
5709,3/12/2016,Thornbury,3071,7.0,u,2,470000
5710,3/12/2016,Thornbury,3071,7.0,h,3,1470000
5711,3/12/2016,Thornbury,3071,7.0,u,2,435000
5712,3/12/2016,Thornbury,3071,7.0,u,1,517500
5714,3/12/2016,Thornbury,3071,7.0,u,1,370000
5715,3/12/2016,Thornbury,3071,7.0,u,2,520000
5717,3/12/2016,Toorak,3142,4.1,h,3,4300000
5718,3/12/2016,Toorak,3142,4.1,h,3,1435000
5719,3/12/2016,Toorak,3142,4.1,h,4,5500000
5720,3/12/2016,Toorak,3142,4.1,u,1,546000
5721,3/12/2016,Toorak,3142,4.1,h,3,1635000
5722,3/12/2016,Tullamarine,3043,12.9,h,3,580000
5723,3/12/2016,Vermont,3133,17.2,h,3,865000
5724,3/12/2016,Vermont,3133,17.2,h,4,1420000
5725,3/12/2016,Vermont,3133,17.2,u,2,561000
5726,3/12/2016,Viewbank,3084,8.9,u,2,556000
5727,3/12/2016,Viewbank,3084,8.9,h,4,1010000
5729,3/12/2016,Viewbank,3084,8.9,h,3,880000
5730,3/12/2016,Wantirna,3152,14.7,h,4,1250000
5732,3/12/2016,Wantirna South,3152,14.7,h,4,885000
5733,3/12/2016,Watsonia,3087,14.5,h,3,660000
5734,3/12/2016,Watsonia,3087,14.5,h,3,581000
5735,3/12/2016,Watsonia,3087,14.5,h,3,655000
5736,3/12/2016,Werribee,3030,14.7,h,3,415000
5737,3/12/2016,Werribee,3030,14.7,h,3,437000
5738,3/12/2016,Werribee,3030,14.7,h,5,690000
5740,3/12/2016,West Footscray,3012,6.4,u,1,300000
5741,3/12/2016,West Footscray,3012,6.4,h,3,1061000
5742,3/12/2016,West Footscray,3012,6.4,h,6,1020000
5743,3/12/2016,West Footscray,3012,6.4,h,2,912500
5745,3/12/2016,West Footscray,3012,6.4,u,2,565000
5746,3/12/2016,West Footscray,3012,6.4,h,3,1074000
5747,3/12/2016,West Footscray,3012,6.4,h,3,1021000
5748,3/12/2016,West Melbourne,3003,3.1,u,3,650000
5750,3/12/2016,Wheelers Hill,3150,16.7,h,4,1300000
5751,3/12/2016,Wheelers Hill,3150,16.7,h,3,1100000
5752,3/12/2016,Wheelers Hill,3150,16.7,h,5,1400000
5753,3/12/2016,Wheelers Hill,3150,16.7,h,4,890000
5754,3/12/2016,Williamstown,3016,6.8,u,3,890000
5756,3/12/2016,Williamstown North,3016,6.8,h,3,1075000
5757,3/12/2016,Williamstown North,3016,6.8,u,2,580000
5758,3/12/2016,Windsor,3181,4.6,h,3,1850000
5759,3/12/2016,Windsor,3181,4.6,u,3,825000
5760,3/12/2016,Wollert,3750,25.5,h,3,457500
5761,3/12/2016,Wollert,3750,25.5,h,4,555000
5762,3/12/2016,Wyndham Vale,3024,27.2,h,4,416000
5764,3/12/2016,Yarraville,3013,6.3,h,4,1550000
5765,3/12/2016,Yarraville,3013,6.3,h,3,770000
5766,3/12/2016,Yarraville,3013,6.3,h,3,871000
5767,3/12/2016,Yarraville,3013,6.3,h,3,780000
5768,3/12/2016,Yarraville,3013,6.3,t,2,650000
5770,3/12/2016,Yarraville,3013,6.3,h,3,851000
5771,4/02/2016,Abbotsford,3067,3.0,h,2,1035000
5773,4/02/2016,Albion,3020,10.5,h,2,765000
5774,4/02/2016,Altona,3018,11.0,t,2,720000
5775,4/02/2016,Ascot Vale,3032,4.3,h,3,895000
5778,4/02/2016,Balwyn,3103,7.9,u,1,450000
5779,4/02/2016,Bentleigh,3204,11.4,h,3,1222500
5781,4/02/2016,Bentleigh East,3165,13.8,t,3,775000
5782,4/02/2016,Berwick,3806,35.2,h,4,743000
5785,4/02/2016,Black Rock,3193,17.3,u,2,700000
5786,4/02/2016,Blackburn,3130,13.4,t,3,900000
5787,4/02/2016,Blackburn South,3130,13.4,h,4,1065000
5788,4/02/2016,Blackburn South,3130,13.4,h,3,1230000
5789,4/02/2016,Broadmeadows,3047,14.0,h,3,395000
5791,4/02/2016,Burwood,3125,10.4,h,3,1151000
5792,4/02/2016,Burwood,3125,10.4,h,3,1755000
5793,4/02/2016,Cairnlea,3023,14.8,t,4,571000
5794,4/02/2016,Carrum Downs,3201,34.9,h,3,450000
5795,4/02/2016,Chadstone,3148,11.7,h,4,890000
5797,4/02/2016,Cheltenham,3192,17.9,u,2,520000
5798,4/02/2016,Cheltenham,3192,17.9,u,3,756500
5799,4/02/2016,Clayton South,3169,17.5,h,3,782000
5800,4/02/2016,Coburg,3058,6.7,h,3,675000
5801,4/02/2016,Cranbourne East,3977,34.7,h,4,530500
5802,4/02/2016,Croydon,3136,23.0,h,3,841000
5803,4/02/2016,Dandenong,3175,24.7,h,3,565000
5804,4/02/2016,Dandenong North,3175,24.7,h,3,670000
5805,4/02/2016,Deer Park,3023,14.8,h,3,466000
5807,4/02/2016,Doncaster,3108,12.4,t,4,1320000
5808,4/02/2016,Doreen,3754,25.9,h,4,460000
5809,4/02/2016,Doreen,3754,25.9,h,3,442500
5810,4/02/2016,Doveton,3177,28.8,h,3,415000
5811,4/02/2016,Edithvale,3196,27.0,h,3,1039000
5812,4/02/2016,Elwood,3184,7.2,t,3,1395000
5813,4/02/2016,Epping,3076,19.6,u,3,414000
5814,4/02/2016,Epping,3076,19.6,u,3,407000
5815,4/02/2016,Epping,3076,19.6,h,3,498000
