,Date,Suburb,Postcode,Latitude,Longtitude,Distance,Type,Rooms,Bedroom,Bathroom,Car,Landsize,Price
4077,19/11/2016,Essendon,3040,-37.7523,144.9052,8.0,h,4,4,1,2,638,1535000
4079,19/11/2016,Essendon,3040,-37.7565,144.9241,8.0,h,3,3,2,2,383,1400000
4080,19/11/2016,Essendon,3040,-37.7461,144.9079,8.0,u,2,2,1,1,0,435000
4085,22/08/2016,Essendon,3040,-37.7534,144.9242,8.0,u,2,2,1,1,0,457000
4086,22/08/2016,Essendon,3040,-37.7546,144.9042,8.0,h,3,3,2,1,605,1460000
4087,23/04/2016,Essendon,3040,-37.7412,144.8974,8.0,u,2,2,1,1,0,736000
4088,24/09/2016,Essendon,3040,-37.7401,144.8923,8.0,u,2,2,1,1,121,405000
4089,24/09/2016,Essendon,3040,-37.745,144.915,8.0,u,2,2,1,1,0,450000
4090,24/09/2016,Essendon,3040,-37.7457,144.9061,8.0,u,2,2,1,1,250,740000
4092,25/02/2017,Essendon,3040,-37.7454,144.928,8.0,u,2,2,1,1,201,691000
4093,25/02/2017,Essendon,3040,-37.7558,144.9233,8.0,u,2,2,1,0,0,370000
4095,25/02/2017,Essendon,3040,-37.7582,144.9128,8.0,h,4,4,2,3,715,2355000
4096,25/02/2017,Essendon,3040,-37.7488,144.9165,8.0,h,2,2,1,1,0,1255000
4097,25/02/2017,Essendon,3040,-37.7452,144.8941,8.0,h,4,4,1,2,650,1560000
4099,26/07/2016,Essendon,3040,-37.7585,144.9316,8.0,h,3,3,1,4,687,1330000
4100,26/07/2016,Essendon,3040,-37.7417,144.8961,8.0,h,3,3,2,1,858,1625000
4101,26/07/2016,Essendon,3040,-37.7548,144.9315,8.0,h,3,3,1,0,300,1150000
4105,27/06/2016,Essendon,3040,-37.7525,144.9232,8.0,h,3,3,1,1,325,1085000
4106,27/06/2016,Essendon,3040,-37.7517,144.9018,8.0,h,6,7,2,2,870,1800000
4107,27/06/2016,Essendon,3040,-37.754,144.9209,8.0,u,2,2,1,1,0,360000
4108,27/06/2016,Essendon,3040,-37.7475,144.8959,8.0,u,2,2,1,1,170,645000
4110,27/06/2016,Essendon,3040,-37.7523,144.9221,8.0,u,1,1,1,1,0,250000
4111,27/11/2016,Essendon,3040,-37.7579,144.9114,8.0,h,3,3,2,2,563,1630000
4112,27/11/2016,Essendon,3040,-37.753,144.891,8.0,h,3,3,2,1,580,850000
4113,27/11/2016,Essendon,3040,-37.7399,144.8964,8.0,u,3,3,1,1,862,872000
4114,27/11/2016,Essendon,3040,-37.7462,144.8949,8.0,t,3,3,2,2,247,935000
4115,27/11/2016,Essendon,3040,-37.7543,144.9066,8.0,u,2,2,1,1,0,630000
4116,27/11/2016,Essendon,3040,-37.7556,144.9132,8.0,u,2,2,1,1,1011,440000
4117,27/11/2016,Essendon,3040,-37.7548,144.9098,8.0,h,5,5,3,2,657,1811000
4118,28/05/2016,Essendon,3040,-37.7524,144.9074,8.0,h,3,3,2,3,440,1500000
4122,28/05/2016,Essendon,3040,-37.7541,144.9265,8.0,h,3,3,1,2,605,1290000
4125,28/05/2016,Essendon,3040,-37.7453,144.9183,8.0,h,3,3,1,1,429,1045000
4126,28/08/2016,Essendon,3040,-37.7442,144.9249,8.0,h,3,3,1,1,618,1290000
4128,28/08/2016,Essendon,3040,-37.7466,144.8941,8.0,h,2,2,1,1,414,953000
4129,28/08/2016,Essendon,3040,-37.7566,144.9155,8.0,h,3,3,1,2,0,1100000
4130,28/08/2016,Essendon,3040,-37.752,144.9079,8.0,u,3,3,1,1,0,820000
4131,28/08/2016,Essendon,3040,-37.757,144.9251,8.0,h,4,3,2,2,411,1270000
4132,28/08/2016,Essendon,3040,-37.7542,144.9117,8.0,h,3,3,2,1,400,1445000
4133,28/08/2016,Essendon,3040,-37.7509,144.8922,8.0,h,4,3,1,2,533,1113000
4134,28/08/2016,Essendon,3040,-37.7482,144.908,8.0,u,2,2,1,1,0,370000
4135,30/07/2016,Essendon,3040,-37.7489,144.9073,8.0,h,3,3,2,2,625,1505000
4136,30/07/2016,Essendon,3040,-37.7451,144.9145,8.0,t,2,2,1,1,0,590000
4137,3/09/2016,Essendon North,3041,-37.7428,144.9086,9.4,u,2,2,1,1,0,396000
4138,4/06/2016,Essendon North,3041,-37.7401,144.9013,9.4,h,3,3,2,2,758,1580000
4139,6/08/2016,Essendon North,3041,-37.7396,144.902,9.4,u,2,2,1,1,999,393000
4140,10/09/2016,Essendon North,3041,-37.7428,144.9086,9.4,u,1,1,1,1,0,260000
4141,14/05/2016,Essendon North,3041,-37.7388,144.9006,9.4,h,3,3,1,1,766,1320000
4142,14/05/2016,Essendon North,3041,-37.7389,144.8998,9.4,u,2,2,1,1,88,450000
4144,18/03/2017,Essendon North,3041,-37.7379,144.9022,9.4,h,5,5,3,2,463,1360000
4145,18/06/2016,Essendon North,3041,-37.7433,144.9074,9.4,u,2,2,1,1,0,340000
4146,19/11/2016,Essendon North,3041,-37.7364,144.8977,9.4,u,3,3,2,1,0,765000
4147,22/08/2016,Essendon North,3041,-37.7371,144.8973,9.4,h,4,3,2,2,607,1605000
4148,22/08/2016,Essendon North,3041,-37.7374,144.9006,9.4,u,3,3,2,2,189,712000
4149,25/02/2017,Essendon North,3041,-37.7376,144.8954,9.4,h,3,3,2,2,10100,1425000
4151,3/09/2016,Fairfield,3078,-37.7723,145.0179,5.8,h,3,3,2,0,327,1250000
4153,3/12/2016,Fairfield,3078,-37.7828,145.0154,5.8,h,3,3,1,2,309,1350000
4155,4/06/2016,Fairfield,3078,-37.7788,145.0203,5.8,h,3,2,1,2,530,1125000
4156,6/08/2016,Fairfield,3078,-37.7698,145.0183,5.8,h,3,3,1,1,235,1064000
4158,7/05/2016,Fairfield,3078,-37.7689,145.0177,5.8,h,2,2,1,2,537,1220000
4159,7/05/2016,Fairfield,3078,-37.7735,145.0192,5.8,h,4,4,2,1,381,1160000
4160,7/11/2016,Fairfield,3078,-37.7755,145.0178,5.8,u,2,2,1,1,0,505000
4162,7/11/2016,Fairfield,3078,-37.7845,145.0105,5.8,u,2,2,1,1,0,602000
4163,8/10/2016,Fairfield,3078,-37.7665,145.0175,5.8,t,3,3,1,1,185,846000
4165,10/09/2016,Fairfield,3078,-37.7719,145.0195,5.8,u,2,2,1,1,0,400000
4166,10/12/2016,Fairfield,3078,-37.7722,145.0178,5.8,h,2,2,1,1,66,610000
4167,10/12/2016,Fairfield,3078,-37.7782,145.0162,5.8,u,2,2,1,1,0,445000
4168,11/02/2017,Fairfield,3078,-37.7818,145.0161,5.8,u,2,2,1,1,116,730000
4170,15/10/2016,Fairfield,3078,-37.7749,145.0242,5.8,h,4,4,2,2,490,1730000
4171,15/10/2016,Fairfield,3078,-37.7762,145.0213,5.8,u,2,2,1,1,0,438000
4174,18/03/2017,Fairfield,3078,-37.7728,145.026,5.8,h,3,3,2,1,743,1700000
4175,18/03/2017,Fairfield,3078,-37.7781,145.0157,5.8,u,2,2,1,1,1658,510000
4177,18/03/2017,Fairfield,3078,-37.7839,145.0171,5.8,u,1,1,1,1,0,300000
4178,18/06/2016,Fairfield,3078,-37.7674,145.0209,5.8,h,3,3,2,1,170,750000
4181,18/06/2016,Fairfield,3078,-37.7706,145.0225,5.8,h,3,3,2,4,735,2350000
4182,19/11/2016,Fairfield,3078,-37.7728,145.0214,5.8,h,3,3,1,4,553,1350000
4183,22/05/2016,Fairfield,3078,-37.7671,145.0176,5.8,h,4,4,3,2,575,2000000
4184,22/08/2016,Fairfield,3078,-37.774,145.0244,5.8,h,2,2,1,1,285,1010000
4185,23/04/2016,Fairfield,3078,-37.7713,145.0196,5.8,h,3,3,1,2,630,1065000
4186,24/09/2016,Fairfield,3078,-37.7697,145.0203,5.8,t,2,2,1,1,140,805000
4189,27/06/2016,Fairfield,3078,-37.7696,145.0188,5.8,h,3,3,1,2,382,1055000
4190,27/06/2016,Fairfield,3078,-37.7845,145.0105,5.8,u,2,2,1,1,0,548000
4191,27/11/2016,Fairfield,3078,-37.7714,145.0173,5.8,h,3,3,1,1,0,1500000
4192,27/11/2016,Fairfield,3078,-37.7732,145.0193,5.8,u,2,2,1,2,0,600000
4193,28/05/2016,Fairfield,3078,-37.7772,145.0232,5.8,h,3,1,1,1,453,1510000
4196,28/08/2016,Fairfield,3078,-37.7682,145.0209,5.8,u,2,2,1,1,0,545000
4197,28/08/2016,Fairfield,3078,-37.7673,145.021,5.8,h,3,3,1,3,590,1145000
4198,28/08/2016,Fairfield,3078,-37.7737,145.018,5.8,h,3,3,1,1,496,1375000
4199,3/09/2016,Fitzroy,3065,-37.7941,144.9802,1.6,h,2,2,1,0,128,1000000
4200,3/09/2016,Fitzroy,3065,-37.8029,144.975,1.6,h,3,3,2,2,0,1252000
4203,6/08/2016,Fitzroy,3065,-37.7941,144.9802,1.6,u,2,2,1,2,0,810000
4204,7/05/2016,Fitzroy,3065,-37.7988,144.9772,1.6,u,2,2,1,1,0,692000
4206,7/11/2016,Fitzroy,3065,-37.8048,144.9806,1.6,h,4,4,1,1,186,1780000
4207,7/11/2016,Fitzroy,3065,-37.8019,144.9821,1.6,h,1,1,1,0,87,947500
4211,12/11/2016,Fitzroy,3065,-37.8006,144.9814,1.6,h,2,2,1,0,0,1460000
4212,12/11/2016,Fitzroy,3065,-37.7951,144.9776,1.6,t,3,3,2,2,0,1520000
4213,13/08/2016,Fitzroy,3065,-37.7953,144.9775,1.6,t,2,2,2,2,0,880000
4214,13/08/2016,Fitzroy,3065,-37.8052,144.9739,1.6,h,4,4,4,2,337,3310000
4215,13/08/2016,Fitzroy,3065,-37.795,144.9806,1.6,h,3,3,2,1,138,1481000
4216,16/04/2016,Fitzroy,3065,-37.8003,144.9806,1.6,h,3,3,2,1,187,2200000
4219,17/09/2016,Fitzroy,3065,-37.7966,144.9821,1.6,h,3,3,1,1,113,1250000
4220,17/09/2016,Fitzroy,3065,-37.8032,144.9825,1.6,h,2,3,1,0,95,1440000
4222,18/03/2017,Fitzroy,3065,-37.7946,144.9765,1.6,h,2,2,1,0,141,1315000
4223,18/06/2016,Fitzroy,3065,-37.7999,144.9759,1.6,h,4,4,1,0,177,1950000
4224,18/06/2016,Fitzroy,3065,-37.7941,144.9802,1.6,u,1,1,1,1,0,597000
4226,18/06/2016,Fitzroy,3065,-37.799,144.9756,1.6,u,2,2,1,1,0,650000
4228,19/11/2016,Fitzroy,3065,-37.7974,144.9799,1.6,u,1,1,1,1,0,465000
4229,22/05/2016,Fitzroy,3065,-37.8004,144.9768,1.6,h,4,3,2,1,132,1620000
4231,22/05/2016,Fitzroy,3065,-37.803,144.9806,1.6,h,3,3,2,1,261,1600000
4232,22/05/2016,Fitzroy,3065,-37.8005,144.9787,1.6,u,3,3,2,1,2782,850000
4233,22/08/2016,Fitzroy,3065,-37.7967,144.9836,1.6,u,2,2,1,1,0,790000
4234,22/08/2016,Fitzroy,3065,-37.7968,144.9781,1.6,h,2,2,1,0,106,1122000
4236,23/04/2016,Fitzroy,3065,-37.8035,144.9826,1.6,u,2,2,2,0,0,660000
4237,24/09/2016,Fitzroy,3065,-37.7941,144.98,1.6,h,2,2,1,1,157,1300000
4240,25/02/2017,Fitzroy,3065,-37.8055,144.9809,1.6,u,1,1,1,1,782,420000
4241,26/07/2016,Fitzroy,3065,-37.7967,144.9836,1.6,u,2,2,1,1,0,715000
4243,27/06/2016,Fitzroy,3065,-37.7964,144.9839,1.6,u,1,1,1,1,0,458000
4244,27/06/2016,Fitzroy,3065,-37.7956,144.9804,1.6,h,2,2,2,1,64,800000
4245,27/06/2016,Fitzroy,3065,-37.7953,144.9775,1.6,t,2,2,1,1,0,710000
4246,27/06/2016,Fitzroy,3065,-37.8024,144.9835,1.6,u,2,2,1,1,0,630000
4247,27/11/2016,Fitzroy,3065,-37.7999,144.9755,1.6,h,4,4,3,2,286,4011000
4248,27/11/2016,Fitzroy,3065,-37.7969,144.9759,1.6,h,2,2,1,0,67,677000
4251,3/09/2016,Fitzroy North,3068,-37.7846,144.9785,3.5,u,2,2,2,1,4332,700000
4252,3/09/2016,Fitzroy North,3068,-37.7927,144.9796,3.5,h,2,2,1,0,104,860000
4253,3/09/2016,Fitzroy North,3068,-37.7898,144.9794,3.5,h,2,2,1,0,107,870000
4254,3/09/2016,Fitzroy North,3068,-37.791,144.9809,3.5,h,2,3,1,0,152,1116000
4255,3/09/2016,Fitzroy North,3068,-37.7797,144.9861,3.5,h,4,4,2,1,266,1450000
4256,3/09/2016,Fitzroy North,3068,-37.7903,144.9859,3.5,t,2,2,3,0,2778,930000
4258,4/03/2017,Fitzroy North,3068,-37.7846,144.9785,3.5,u,2,2,2,2,4296,700000
4259,4/03/2017,Fitzroy North,3068,-37.7851,144.9934,3.5,h,3,3,2,1,177,2170000
4261,4/03/2017,Fitzroy North,3068,-37.7925,144.9786,3.5,u,1,1,1,1,0,358500
4262,4/03/2017,Fitzroy North,3068,-37.7754,144.9806,3.5,h,3,3,1,0,249,1000000
4263,4/06/2016,Fitzroy North,3068,-37.7916,144.9784,3.5,h,2,2,2,1,134,770000
4265,6/08/2016,Fitzroy North,3068,-37.7833,144.9819,3.5,h,2,2,1,1,150,1008000
4266,8/10/2016,Fitzroy North,3068,-37.7912,144.9825,3.5,t,3,3,2,1,112,1015000
4267,10/09/2016,Fitzroy North,3068,-37.7835,144.9816,3.5,h,3,2,1,1,197,1371000
4268,10/09/2016,Fitzroy North,3068,-37.7903,144.9859,3.5,t,2,2,2,1,0,1054000
4269,10/12/2016,Fitzroy North,3068,-37.7818,144.9863,3.5,h,2,2,1,0,122,1055000
4270,10/12/2016,Fitzroy North,3068,-37.7846,144.9785,3.5,u,2,2,2,1,4296,720000
4271,10/12/2016,Fitzroy North,3068,-37.7779,144.9862,3.5,h,3,3,1,0,275,1286000
4272,10/12/2016,Fitzroy North,3068,-37.7892,144.9773,3.5,h,3,3,1,0,176,1655000
4273,10/12/2016,Fitzroy North,3068,-37.7835,144.9799,3.5,h,3,2,1,1,148,1181000
4274,10/12/2016,Fitzroy North,3068,-37.7829,144.9788,3.5,t,3,3,3,1,188,1600000
4276,11/03/2017,Fitzroy North,3068,-37.7749,144.9864,3.5,h,5,5,2,3,818,2875000
4277,12/06/2016,Fitzroy North,3068,-37.791,144.9779,3.5,h,2,2,1,0,145,990000
4280,14/05/2016,Fitzroy North,3068,-37.7786,144.9818,3.5,h,4,4,2,2,233,1950000
4281,14/05/2016,Fitzroy North,3068,-37.786,144.9864,3.5,h,4,3,2,1,445,3400000
4282,14/05/2016,Fitzroy North,3068,-37.7815,144.9869,3.5,h,4,4,2,1,188,1785000
4284,15/10/2016,Fitzroy North,3068,-37.7887,144.9888,3.5,h,2,2,1,0,143,1315000
4287,15/10/2016,Fitzroy North,3068,-37.7829,144.9782,3.5,h,2,2,1,1,223,1210000
4288,16/04/2016,Fitzroy North,3068,-37.7813,144.9834,3.5,h,3,3,2,1,104,1275000
4290,16/04/2016,Fitzroy North,3068,-37.7739,144.9819,3.5,h,3,2,1,1,378,1141000
4292,18/03/2017,Fitzroy North,3068,-37.7841,144.9793,3.5,h,2,2,1,0,148,1255000
4293,18/03/2017,Fitzroy North,3068,-37.782,144.9834,3.5,h,3,3,2,1,240,1700000
4294,18/03/2017,Fitzroy North,3068,-37.7819,144.9824,3.5,h,2,2,1,0,136,1290000
4295,18/03/2017,Fitzroy North,3068,-37.7761,144.9792,3.5,t,2,2,2,2,0,750000
4296,18/03/2017,Fitzroy North,3068,-37.7899,144.9869,3.5,u,3,3,1,1,0,674000
4297,18/03/2017,Fitzroy North,3068,-37.7918,144.9824,3.5,u,2,2,1,2,0,675000
4298,18/03/2017,Fitzroy North,3068,-37.7855,144.9789,3.5,t,4,4,3,2,127,1700000
4300,18/06/2016,Fitzroy North,3068,-37.7823,144.9864,3.5,h,2,2,1,0,106,875000
4301,19/11/2016,Fitzroy North,3068,-37.7923,144.9776,3.5,t,3,3,2,1,77,1080000
4302,19/11/2016,Fitzroy North,3068,-37.7852,144.9868,3.5,h,3,3,1,1,225,1851000
4304,19/11/2016,Fitzroy North,3068,-37.7737,144.9822,3.5,h,2,2,1,2,487,1222500
4305,19/11/2016,Fitzroy North,3068,-37.782,144.9896,3.5,u,1,1,1,1,0,330000
4306,19/11/2016,Fitzroy North,3068,-37.7848,144.9806,3.5,h,2,2,1,0,0,1232000
4307,22/05/2016,Fitzroy North,3068,-37.7851,144.9784,3.5,h,1,2,1,0,153,899000
4308,23/04/2016,Fitzroy North,3068,-37.7786,144.9846,3.5,h,3,4,1,2,475,2300000
4309,23/04/2016,Fitzroy North,3068,-37.788,144.9791,3.5,h,2,2,1,0,100,937500
4310,24/09/2016,Fitzroy North,3068,-37.7778,144.9824,3.5,h,3,3,2,0,357,1710000
4312,25/02/2017,Fitzroy North,3068,-37.7794,144.9892,3.5,h,3,3,1,0,370,1600000
4313,26/07/2016,Fitzroy North,3068,-37.7834,144.9862,3.5,h,3,3,1,1,203,1300000
4314,27/11/2016,Fitzroy North,3068,-37.7828,144.9832,3.5,h,4,4,2,1,197,2300000
4315,27/11/2016,Fitzroy North,3068,-37.7846,144.9785,3.5,u,2,2,1,1,4296,490000
4316,27/11/2016,Fitzroy North,3068,-37.7851,144.9809,3.5,h,3,3,2,0,127,1300000
4317,27/11/2016,Fitzroy North,3068,-37.776,144.9832,3.5,h,3,3,1,0,309,1300000
4318,27/11/2016,Fitzroy North,3068,-37.7835,144.9867,3.5,h,3,3,2,0,202,2150000
4319,28/05/2016,Fitzroy North,3068,-37.7918,144.9824,3.5,t,3,3,2,2,0,775000
4321,28/05/2016,Fitzroy North,3068,-37.7836,144.985,3.5,h,3,3,1,0,193,1581000
4322,28/08/2016,Fitzroy North,3068,-37.7794,144.989,3.5,u,2,2,1,1,0,602000
4323,28/08/2016,Fitzroy North,3068,-37.777,144.9838,3.5,h,2,2,1,1,0,650000
4325,28/08/2016,Fitzroy North,3068,-37.7824,144.9801,3.5,h,2,2,1,2,204,1283000
4326,28/08/2016,Fitzroy North,3068,-37.7839,144.9807,3.5,h,3,3,2,1,118,1450000
4327,28/08/2016,Fitzroy North,3068,-37.783,144.9866,3.5,h,2,2,1,0,160,1325000
4330,3/09/2016,Flemington,3031,-37.7835,144.9339,4.4,h,2,2,1,1,168,865500
4332,3/12/2016,Flemington,3031,-37.7833,144.9255,4.4,u,2,2,1,1,0,365000
4334,4/03/2017,Flemington,3031,-37.7852,144.9216,4.4,u,1,1,1,1,2077,380000
4335,4/03/2017,Flemington,3031,-37.7833,144.9255,4.4,u,2,2,1,1,0,425000
4336,4/03/2017,Flemington,3031,-37.7839,144.9347,4.4,u,1,1,1,1,0,280000
4339,8/10/2016,Flemington,3031,-37.7869,144.9228,4.4,h,3,3,2,0,167,870000
4340,8/10/2016,Flemington,3031,-37.7825,144.9239,4.4,u,2,2,1,1,0,391000
4341,8/10/2016,Flemington,3031,-37.7852,144.9223,4.4,h,2,2,1,1,0,715000
4342,8/10/2016,Flemington,3031,-37.7856,144.9292,4.4,h,3,3,1,0,294,1130000
4343,8/10/2016,Flemington,3031,-37.7857,144.931,4.4,h,3,3,1,1,272,1110000
4344,10/09/2016,Flemington,3031,-37.7861,144.9238,4.4,h,2,2,1,1,193,950000
4345,10/09/2016,Flemington,3031,-37.7839,144.9343,4.4,h,2,2,1,0,136,918000
4346,10/09/2016,Flemington,3031,-37.7867,144.9342,4.4,h,2,2,1,1,140,730000
4347,10/12/2016,Flemington,3031,-37.7826,144.9273,4.4,u,2,2,1,1,0,360000
4348,10/12/2016,Flemington,3031,-37.7849,144.9197,4.4,h,2,2,1,0,225,855000
4351,12/11/2016,Flemington,3031,-37.7849,144.9257,4.4,h,2,2,1,0,202,860000
4354,13/08/2016,Flemington,3031,-37.7818,144.9247,4.4,h,3,3,1,1,212,1012000
4355,13/08/2016,Flemington,3031,-37.7869,144.9253,4.4,h,3,3,1,0,162,885000
4356,13/08/2016,Flemington,3031,-37.7853,144.9235,4.4,h,3,2,1,1,313,1315000
4357,14/05/2016,Flemington,3031,-37.7837,144.9319,4.4,h,4,4,1,1,616,1700000
4358,15/10/2016,Flemington,3031,-37.7826,144.9261,4.4,h,3,3,2,2,0,1205000
4359,15/10/2016,Flemington,3031,-37.7833,144.9255,4.4,u,2,2,1,1,0,395000
4360,15/10/2016,Flemington,3031,-37.783,144.932,4.4,u,2,2,1,1,0,476000
4361,16/04/2016,Flemington,3031,-37.7854,144.9326,4.4,h,1,1,1,1,0,250000
4363,16/07/2016,Flemington,3031,-37.784,144.9356,4.4,u,2,2,2,1,0,556000
4364,18/03/2017,Flemington,3031,-37.7838,144.9273,4.4,h,2,2,1,1,0,845000
4365,18/06/2016,Flemington,3031,-37.7826,144.9311,4.4,u,1,1,1,1,0,345000
4366,18/06/2016,Flemington,3031,-37.7857,144.9305,4.4,h,3,3,2,0,179,1100000
4367,22/05/2016,Flemington,3031,-37.7847,144.9341,4.4,h,2,2,1,0,165,957000
4368,23/04/2016,Flemington,3031,-37.7867,144.9249,4.4,h,3,3,1,4,402,991000
4369,24/09/2016,Flemington,3031,-37.7866,144.9343,4.4,h,3,4,2,0,162,850000
4370,25/02/2017,Flemington,3031,-37.788,144.9306,4.4,u,1,1,1,1,818,395000
4372,26/07/2016,Flemington,3031,-37.7857,144.9244,4.4,u,2,2,1,1,0,350000
4373,27/11/2016,Flemington,3031,-37.7823,144.9278,4.4,h,3,3,1,1,244,1115000
4374,28/05/2016,Flemington,3031,-37.783,144.932,4.4,u,2,2,1,1,0,420500
4377,3/09/2016,Footscray,3011,-37.7955,144.9063,6.4,t,3,3,1,1,259,585000
4378,3/09/2016,Footscray,3011,-37.7911,144.89,6.4,u,1,1,1,0,0,85000
4379,3/12/2016,Footscray,3011,-37.7943,144.8875,6.4,h,4,4,2,1,319,1225000
4380,3/12/2016,Footscray,3011,-37.7963,144.8853,6.4,u,2,2,1,1,0,431000
4381,3/12/2016,Footscray,3011,-37.797,144.9051,6.4,h,3,3,1,1,292,1003000
4382,3/12/2016,Footscray,3011,-37.7959,144.8863,6.4,h,3,3,1,0,164,840000
4383,3/12/2016,Footscray,3011,-37.7958,144.9024,6.4,h,3,3,2,0,497,1362000
4384,3/12/2016,Footscray,3011,-37.7983,144.8911,6.4,h,4,4,2,1,154,977000
4385,4/02/2016,Footscray,3011,-37.7907,144.8924,6.4,u,1,1,1,1,0,216000
4386,4/03/2017,Footscray,3011,-37.8012,144.8921,6.4,h,3,3,2,2,204,876000
4387,4/03/2017,Footscray,3011,-37.7907,144.8924,6.4,u,1,1,1,1,0,227000
4388,4/03/2017,Footscray,3011,-37.7959,144.8989,6.4,t,4,4,2,2,250,841000
4389,4/03/2017,Footscray,3011,-37.8044,144.9064,6.4,u,2,2,1,3,2794,605000
4390,4/03/2017,Footscray,3011,-37.8014,144.8959,6.4,u,2,2,1,1,47,305000
4392,6/08/2016,Footscray,3011,-37.7919,144.8854,6.4,t,2,2,1,1,556,480000
4393,6/08/2016,Footscray,3011,-37.7964,144.9027,6.4,u,1,1,1,0,0,357000
4394,6/08/2016,Footscray,3011,-37.7913,144.8879,6.4,h,3,3,1,1,361,910000
4395,7/05/2016,Footscray,3011,-37.7978,144.8918,6.4,u,1,1,1,1,665,291000
4396,7/05/2016,Footscray,3011,-37.7906,144.8856,6.4,h,2,2,1,1,0,375000
4398,7/05/2016,Footscray,3011,-37.7922,144.891,6.4,h,2,2,1,0,215,752000
4400,7/11/2016,Footscray,3011,-37.7941,144.8924,6.4,h,3,3,1,3,585,1155000
4401,8/10/2016,Footscray,3011,-37.7931,144.893,6.4,h,3,3,1,3,413,930000
4402,8/10/2016,Footscray,3011,-37.8006,144.881,6.4,u,2,2,1,1,0,490000
4403,8/10/2016,Footscray,3011,-37.7962,144.8851,6.4,h,3,3,1,1,0,853000
4404,8/10/2016,Footscray,3011,-37.7969,144.9049,6.4,h,4,3,1,2,411,1290000
4405,8/10/2016,Footscray,3011,-37.7949,144.9007,6.4,u,3,3,1,1,0,480000
4406,8/10/2016,Footscray,3011,-37.7901,144.8883,6.4,h,4,2,1,2,277,775000
4409,10/12/2016,Footscray,3011,-37.7969,144.883,6.4,h,2,2,1,0,210,900000
4410,10/12/2016,Footscray,3011,-37.7891,144.8912,6.4,u,2,2,1,1,0,281000
4411,10/12/2016,Footscray,3011,-37.7923,144.8848,6.4,h,4,4,2,3,0,1300000
4412,10/12/2016,Footscray,3011,-37.7948,144.8868,6.4,t,3,3,2,2,164,714000
4413,10/12/2016,Footscray,3011,-37.8021,144.8924,6.4,h,3,3,2,1,197,775000
4414,11/02/2017,Footscray,3011,-37.7909,144.8884,6.4,h,2,2,1,2,657,950000
4415,11/02/2017,Footscray,3011,-37.8016,144.9082,6.4,u,3,3,2,1,8680,674000
4417,12/06/2016,Footscray,3011,-37.7975,144.8894,6.4,h,3,3,1,1,265,760000
4418,12/06/2016,Footscray,3011,-37.8042,144.9049,6.4,u,2,2,1,1,0,420000
4419,12/11/2016,Footscray,3011,-37.7969,144.8852,6.4,t,2,2,1,1,111,560000
4420,12/11/2016,Footscray,3011,-37.796,144.899,6.4,h,2,2,1,1,162,575000
4421,13/08/2016,Footscray,3011,-37.802,144.889,6.4,h,4,3,1,2,633,1100000
4422,13/08/2016,Footscray,3011,-37.8023,144.8915,6.4,h,3,2,1,1,451,932000
4423,14/05/2016,Footscray,3011,-37.7935,144.8893,6.4,h,3,3,1,2,323,780000
4424,15/10/2016,Footscray,3011,-37.7903,144.891,6.4,u,2,2,1,1,0,295000
4425,15/10/2016,Footscray,3011,-37.8017,144.8957,6.4,u,2,2,1,1,0,433000
4426,15/10/2016,Footscray,3011,-37.7881,144.8838,6.4,t,2,2,2,1,65,410000
4427,15/10/2016,Footscray,3011,-37.7988,144.902,6.4,h,2,2,1,1,184,1170000
4428,16/04/2016,Footscray,3011,-37.8006,144.881,6.4,u,1,1,1,1,0,375000
4429,16/04/2016,Footscray,3011,-37.7975,144.8855,6.4,u,2,2,1,3,207,615000
4430,16/07/2016,Footscray,3011,-37.8012,144.8924,6.4,h,3,3,1,1,246,747000
4431,16/07/2016,Footscray,3011,-37.8053,144.9029,6.4,u,1,1,1,1,0,275000
4432,16/07/2016,Footscray,3011,-37.7976,144.8976,6.4,h,3,3,2,2,384,1045000
4433,16/07/2016,Footscray,3011,-37.7956,144.8848,6.4,h,3,3,1,1,242,775000
4435,16/07/2016,Footscray,3011,-37.8025,144.9073,6.4,u,2,2,2,1,0,571000
4437,17/09/2016,Footscray,3011,-37.7878,144.8919,6.4,u,2,2,1,1,0,310000
4439,17/09/2016,Footscray,3011,-37.7903,144.8899,6.4,u,1,1,1,1,59,305000
4440,17/09/2016,Footscray,3011,-37.7963,144.8862,6.4,h,3,3,2,2,322,860500
4442,18/03/2017,Footscray,3011,-37.8021,144.8976,6.4,t,3,3,2,1,122,820000
4443,18/03/2017,Footscray,3011,-37.7878,144.8904,6.4,u,1,1,1,1,0,210000
4445,18/03/2017,Footscray,3011,-37.8022,144.8924,6.4,h,3,3,1,0,262,875000
4447,18/06/2016,Footscray,3011,-37.7992,144.8961,6.4,u,2,2,1,1,0,370000
4448,18/06/2016,Footscray,3011,-37.7968,144.8887,6.4,h,2,2,1,2,253,711000
4449,18/06/2016,Footscray,3011,-37.8016,144.9082,6.4,u,3,3,2,1,0,665000
4450,19/11/2016,Footscray,3011,-37.7903,144.8879,6.4,h,2,2,1,1,212,690500
4451,19/11/2016,Footscray,3011,-37.7964,144.8871,6.4,h,2,2,1,1,320,747000
4455,22/05/2016,Footscray,3011,-37.7966,144.9016,6.4,h,2,2,1,1,313,858000
4456,22/08/2016,Footscray,3011,-37.7905,144.8882,6.4,t,4,4,2,2,0,699000
